VS-KP-inventory_rescue-can-rescue-scenarios-rescue_scenarios,,,,domain_general,KP-inventory_rescue-can-rescue-scenarios
VS-KP-inventory_rescue-customer-priority-six-axes-axis,wearability,能不能穿,1,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-customer-priority-six-axes-axis,occasion_fit,场景能不能成立,2,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-customer-priority-six-axes-axis,silhouette_match,廓形像不像,3,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-customer-priority-six-axes-axis,color_family_match,色群近不近,4,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-customer-priority-six-axes-axis,price_band_match,价带稳不稳,5,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-customer-priority-six-axes-axis,fabric_detail_match,面料细节像不像,6,domain_general,KP-inventory_rescue-customer-priority-six-axes
VS-KP-inventory_rescue-display-priority-five-axes-axis,story_theme_match,主题是否仍成立,1,domain_general,KP-inventory_rescue-display-priority-five-axes
VS-KP-inventory_rescue-display-priority-five-axes-axis,color_story_match,色群叙事是否仍成立,2,domain_general,KP-inventory_rescue-display-priority-five-axes
VS-KP-inventory_rescue-display-priority-five-axes-axis,silhouette_layer_match,层次是否还成立,3,domain_general,KP-inventory_rescue-display-priority-five-axes
VS-KP-inventory_rescue-display-priority-five-axes-axis,sellable_depth,可售深度够不够,4,domain_general,KP-inventory_rescue-display-priority-five-axes
VS-KP-inventory_rescue-display-priority-five-axes-axis,price_band_match,价带是否协调,5,domain_general,KP-inventory_rescue-display-priority-five-axes
VS-KP-inventory_rescue-hard-block-five-conditions-hard_block,size_unwearable,尺码不可穿,1,domain_general,KP-inventory_rescue-hard-block-five-conditions
VS-KP-inventory_rescue-hard-block-five-conditions-hard_block,inventory_stale,库存事实过期,2,domain_general,KP-inventory_rescue-hard-block-five-conditions
