source_md,heading_path,heading_level,body_length,body_hash,adjudication_status,sub_reason,adjudicator,priority,w10_rationale,batch_target,suggested_layer,suggested_status,confidence,suggestion_rationale,needs_human_review,reviewer_decision,final_layer,final_status,merge_target,production_tier,default_call_pool,review_notes
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,"玩法卡 #C1-3 —— ""正片预热型幕后""",4,323,0c7c2ce31aed,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,本文件是什么（核心定义）,2,240,95c96a7fcfd5,pending_decision,uncovered_business_chapter,auto,medium,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_general_review,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/daily_fragment-交付物-v0.1.md,"玩法卡 #C3-6 —— ""装置艺术式碎片（日常物件规则排列）""",4,548,296dad2bfa78,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/daily_fragment-交付物-v0.1.md,"玩法卡 #C2-3 —— ""Photo Dump 美学（看似随意，实则隐形排序）""",4,540,81e5ed160978,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/emotion_expression-交付物-v0.1.md,"玩法卡 #C2-1 —— ""脆弱但克制的自我披露 / 具体某一刻崩了一下""",4,1226,f851a16de040,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/emotion_expression-交付物-v0.1.md,"玩法卡 #C3-5 —— ""同一张脸的三种结局 / 服装行业 Kuleshov 效应""",4,1610,6bb6880bb79a,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/event_documentary-交付物-v0.1.md,"玩法卡 #C1-4 —— ""直播流全记录""",4,399,bfe97c63ad01,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/event_documentary-交付物-v0.1.md,"玩法卡 #C3-3 —— ""后台只拍手忙脚乱，台前只拍半个结果""",4,763,c6e6c8453552,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/founder_ip-交付物-v0.1.md,"玩法卡 #C1-2 —— ""创业者一天流水账""",4,447,da8af5d01876,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/founder_ip-交付物-v0.1.md,"玩法卡 #C3-6 —— ""一镜到底工坊漫游""",4,878,559ac2146805,pending_decision,uncovered_business_chapter,auto,high,未被现有 pack 命中的业务章节，待下一波裁决,next_wave_play_card_extraction,L2,extract_l2,high,"L2 强信号：玩法卡/编号/词=['玩法', '玩法卡']",false,accept,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
