source_md,heading_path,heading_level,body_length,body_hash,adjudication_status,sub_reason,adjudicator,priority,rationale,batch_target
Q2-内容类型种子/GPT5.4.md,1. personal_vlog（个人 Vlog / 个人生活日记短视频）,2,66,12c5b54a7412,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：行程清单式“跟我过一天”,4,209,4d7d4e4b2697,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：精致生活流水账,4,170,08a5e99e8eec,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：美学蒙太奇里夹“真话”,4,401,241ca9233469,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：安静跟拍，不解释动机,4,344,54a54aea7b5c,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：一件衣服陪我过完今天,4,473,bc36327d0a88,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：别人眼里的我，和我自己眼里的我,4,436,c78697994ccb,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：失焦日记,4,372,39711588ec29,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,259,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,87,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
