EV-KP-product_attribute-content-type-north-star-behind-scenes,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,§A 北极星 + §C1 + §E 红线,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-behind-scenes
EV-KP-product_attribute-content-type-north-star-daily-fragment,Q2-内容类型种子/daily_fragment-交付物-v0.1.md,§A + §C1 + §E + §F,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-daily-fragment
EV-KP-product_attribute-content-type-north-star-outfit-of-the-day,Q2-内容类型种子/outfit_of_the_day-交付物-v0.1.md,§A + §C1 + §D + §E + §F,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-outfit-of-the-day
EV-KP-product_attribute-content-type-north-star-personal-vlog,Q2-内容类型种子/personal_vlog-交付物-v0.1.md,§A + §B5 + 与 daily_fragment 差异,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-personal-vlog
EV-KP-product_attribute-content-type-north-star-role-work-vlog,Q2-内容类型种子/role_work_vlog-交付物-v0.1.md,§A + 与 founder_ip 边界 + §B5,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-role-work-vlog
EV-KP-product_attribute-enterprise-narrative-six-section-shell,Q2-内容类型种子/企业叙事类GPT5.4.md,全文 6 个一级章节（founder_ip / role_work_vlog / event_documentary / product_journey / process_trace / behind_the_scenes）共享的固定子章节结构,"每一类（如 founder_ip 第 1 节）都包含： ""**北极星：** ……"" + ""### 主流玩法（已被用烂）"" + ""### 进阶玩法（少数高手在用）"" + ""### 突破性玩法（还没人这么干，但可能成立）"" + ""### 服装行业垂直加成"" + ""### 一定不行的玩法"" + ""### 制作难度判断"" 6 个一级章节结构完全一致，证明这是企业叙事内容生产的固定字段壳。",structural_pattern,structural_induction,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
EV-KP-service_judgment-store-daily-three-required-elements,Q2-内容类型种子/store_daily-交付物-v0.1.md,本文件与 batch 1/2 的关键差异 §1 + §3,,explicit_business_decision,direct_quote,domain_general,KP-service_judgment-store-daily-three-required-elements
EV-KP-training_unit-emotion-expression-9-ai-tone-banlist,Q2-内容类型种子/emotion_expression-交付物-v0.1.md,§E-α 9 种 AI 腔禁用清单 + §G G1,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-emotion-expression-9-ai-tone-banlist
EV-KP-training_unit-emotion-expression-truth-3-questions-prepublish,Q2-内容类型种子/emotion_expression-交付物-v0.1.md,§双层真实性防御 β + §G G2/G5,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-emotion-expression-truth-3-questions-prepublish
EV-KP-training_unit-event-documentary-failure-perspective,Q2-内容类型种子/event_documentary-交付物-v0.1.md,§C C3-7 + §D 第 3 条,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-event-documentary-failure-perspective
