source_md,heading_level,heading_kind,heading_path,line_no,body_length,body_first_100
Q2-内容类型种子/GPT5.4.md,2,md_heading,1. personal_vlog（个人 Vlog / 个人生活日记短视频）,3,66,**北极星：** 观众看完以后，不是“我知道你今天干了什么”，而是“我陪这个人过了一小段真实生活，我愿意继续跟着他”。  ---
Q2-内容类型种子/GPT5.4.md,3,md_heading,主流玩法（已被用烂）,9,0,
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 1：行程清单式“跟我过一天”,11,209,起床、洗漱、咖啡、通勤、午饭、下班、回家，一路用 0.5 秒到 1 秒的小镜头拼接，配一首安全但无个性的 BGM，再用字幕把每个动作打标签。它的问题不是不能看，而是太像“完成任务”：观众只接收到流程
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 2：精致生活流水账,17,170,镜头永远干净，桌面永远整洁，咖啡永远拉花，穿搭永远完整，配音永远温柔克制。整条内容看起来“没毛病”，但没有刺点，没有摩擦，没有真实生活中那点不平整。 **为什么烂：** 观众一秒就知道这是“想被看成
Q2-内容类型种子/GPT5.4.md,3,md_heading,进阶玩法（少数高手在用）,25,0,
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 1：美学蒙太奇里夹“真话”,27,401,更高级的 Vlog，不是只拼好看的镜头，而是把“好看的日常”和“难说出口的心情”并置：比如镜头仍然是做早餐、收拾包、走路去地铁，但口播不是“今天我要去哪里”，而是“我最近有点怕见人”“这周状态回来了
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 2：安静跟拍，不解释动机,35,344,另一类高手做法，是减少解释，把 Vlog 拍成“陪伴感”。YouTube 在刺绣社区的观察里提到，silent vlogs、ASMR、cozy content 能让观众像坐进朋友的手作圈；它的抓力来
Q2-内容类型种子/GPT5.4.md,3,md_heading,突破性玩法（还没人这么干，但可能成立）,45,0,
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 1：一件衣服陪我过完今天,47,473,整条 Vlog 只围绕“一件今天穿在身上的衣服”展开。早上它还挂在门后，镜头掠过；出门前你顺手套上；中午你把袖口挽起来，说明天气热了；下班坐地铁时外套搭在腿上；晚上回家把衣服挂回去，口袋里掉出一张小
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 2：别人眼里的我，和我自己眼里的我,56,436,前半段全是你自己的视角：镜中穿衣、低头走路、桌面、手、鞋尖、门把手。后半段突然插入几个“别人替你拍的 2 秒镜头”——朋友帮你从街角拍到你等红灯，妈妈在厨房门口拍到你端碗，店员同事随手拍到你蹲下整理
Q2-内容类型种子/GPT5.4.md,4,md_heading,玩法 3：失焦日记,65,372,整条 Vlog 不追求“拍清楚”，反而允许部分画面失焦、遮挡、晃动，比如拿起手机时镜头被袖子擦过、镜中对焦先落在衣领再落到脸、夜里路灯把人拍成一团虚影。口播只保留几句像手机备忘录一样的短句：“今天不
Q2-内容类型种子/GPT5.4.md,3,md_heading,服装行业垂直加成,76,259,服装行业做个人 Vlog，最大的机会不是把 Vlog 当软广插口，而是把“穿着如何参与一天”拍出来。大多数服装账号只会拍“今天穿什么”，很少拍“这套衣服怎么跟今天的体感、温度、工作、关系发生作用”。
Q2-内容类型种子/GPT5.4.md,3,md_heading,一定不行的玩法,82,87,* 把一天所有动作都字幕化，像给监控录像写注释。 * 只追求“精致感”，没有一点狼狈、迟疑、等待、空拍。 * 口播像写给品牌方的提案，不像写给自己的语音备忘录。  ---
Q2-内容类型种子/GPT5.4.md,3,md_heading,制作难度判断,90,205,* 难度档位：低到中。 * 适合品牌：小品牌、加盟商、单店店主尤其适合，大品牌也适合做“店员/主理人视角”分身账号。 * AI 工具能辅助到什么程度：能帮脚本骨架、镜头清单、粗剪建议、节奏点标注；Y
