unprocessable_id,source_md,source_anchor,content_excerpt,classification,classification_reason,follow_up_action,status,created_at
UP-tcb11-001,Q4-人设种子/phase-3-Q4-参数级填充清单.md,2.1 + 3.4 FounderProfile,FounderProfile 9 字段壳（founder_name / value_system / worldview / brand_philosophy / lifestyle_manifesto / aesthetic_preferences / inspiration_sources / origin_story / signature_phrases）+ 0/1 柔性使用 + 写入权限 knowledge.manage+role=owner+org_tier=brand_hq,process_description_needs_split,FounderProfile 不在 skeleton core_object_types 18 项内已登记 GAP-004；待人工裁决归属后再决定是否拆为 brand_faye 层 product_attribute pack,等待 GAP-004 决议,open,2026-05-03
UP-tcb11-002,Q4-人设种子/phase-3-Q4-参数级填充清单.md,4.1 RoleProfile → Persona,7 个岗位挂接关系清单（store_manager → store_operator 等 7 行）,duplicate_or_redundant,与 TC-B09 首批 Persona-RoleProfile 清单的同源关系定义重复本卡不重抽待 TC-B09 落档,跳过等 TC-B09 落档,open,2026-05-03
UP-tcb11-003,Q4-人设种子/phase-3-Q4-参数级填充清单.md,六、素材与字段的回填关系清单,岗位素材 7 类（A-G）→ Persona 字段优先回填映射；岗位素材 → 兼容矩阵真源边证据来源；岗位素材 → 后续 Q（Q19/Q20/Q21/Q22）,process_description_needs_split,"流程性描述（""先做 A 再做 B""）非业务断言；真业务断言已在 TC-B09/B10/B13 同步落档不在本卡重复",跳过,open,2026-05-03
UP-tcb11-004,Q4-人设种子/phase-3-Q4-参数级填充清单.md,七、责任划分与接力清单,内容运营 / 知识工程 / 技术实现 / 品牌业务专家 4 方接力清单,meta_layer_not_business,工程治理与责任分工非业务知识本仓不抽,跳过,open,2026-05-03
UP-tcb11-005,Q4-人设种子/phase-3-Q4-参数级填充清单.md,"八、当前""已冻结/候选/待补""总表",对前文 Frozen/Candidate/Pending 三档项目的汇总表,duplicate_or_redundant,本节是前文摘要不重复抽业务断言已在各 pack 内体现,跳过,open,2026-05-03
UP-tcb11-006,Q4-人设种子/phase-3-Q4-参数级填充清单.md,九、本稿结论 + 本轮 Q4 产物进度,对本稿与 6 份 Q4 产物落盘状态的总结,meta_layer_not_business,工程进度通报非业务知识,跳过,open,2026-05-03
UP-tcb11-007,Q4-人设种子/phase-3-Q4-参数级填充清单.md,2.2 通用 Persona 命名规范 / 2.3 RoleProfile 数量,3 套通用 Persona 数量与命名 / 7 个 RoleProfile 数量与挂接,duplicate_or_redundant,与 TC-B09 / TC-B10 同源不重抽,跳过,open,2026-05-03
UP-tcb08-001,Q7Q12-搭配陈列业务包/岗位手感与一线判断包.md,五、3. sales_associate（门店店员 / 导购）,导购读顾客停顿与身体反馈/试探vs拒绝判断/三类不能写硬规则的经验/朋友圈反面清单等,duplicate_or_redundant,导购接客判断核心已在TC-B04十类接客场景与TC-B07 customer-first-look-judgment/try-on-guidance/body-shape-objection等多条pack覆盖；此处只是同源岗位视角复述不重抽,跳过参考TC-B04/TC-B07,open,2026-05-03
UP-tcb08-002,Q7Q12-搭配陈列业务包/岗位手感与一线判断包.md,五、6. design_director（设计总监）,设计总监品牌审美边界与方案取舍裁决/视觉成立但品牌不成立/不是高级就适合品牌等,evidence_insufficient,"该岗位手感高度依赖具体品牌边界与""为什么砍掉大家都喜欢的方案""个案复盘原文未给出可形成domain_general具体业务断言的稳定判断模板；如未来有具体品牌边界文本应进brand_<name>层而非domain_general",等待具体品牌边界素材到位再抽brand_specific pack,open,2026-05-03
UP-tcb08-003,Q7Q12-搭配陈列业务包/岗位手感与一线判断包.md,"六、5个必答问题中的""哪些经验只能参考不能写硬规则""",顾客说再看看就一定没戏/某话术永远有效/顾客一说预算低就是预算低/试穿满意但不成交一定是嫌贵等反例清单,duplicate_or_redundant,这些反例本质是TC-B04 must-ask-first/comfort-sensitive与TC-B07 try-on-guidance/customer-first-look等pack的flip_pattern补集已隐含覆盖,跳过参考B04/B07的flip_pattern字段,open,2026-05-03
UP-tcb08-004,Q7Q12-搭配陈列业务包/岗位手感与一线判断包.md,二、正式范围+三、采集与入库原则+四、内容结构+七、用途边界,7个RoleProfile清单/4类证据形态/5个子包结构/3类用途边界,meta_layer_not_business,本节为采集元规则与岗位画像工程结构定义非具体业务判断；岗位画像清单本身已在domain_skeleton中归口处理,跳过,open,2026-05-03
UP-tcb13-001,Q4-人设种子/phase-3-Q4-首批岗位知识素材清单.md,零+一+六+七 文档定位/范围/与下游衔接/结论,本稿性质=数据清单候选 v0.1/解决问题与上游承接/不覆盖项/与参数级填充清单与种子数据导入的衔接关系/Q4 第 5 份产物落盘,meta_layer_not_business,本节为文档定位元层与产物索引非具体业务判断也无可形成 knowledge_assertion 的业务断言_稳定颗粒度低,跳过,open,2026-05-03
UP-tcb13-002,Q4-人设种子/phase-3-Q4-首批岗位知识素材清单.md,二、2.2 一条岗位知识至少要能落到 3 类字段,每条素材至少应能支撑 authenticity_anchors / topic_scope / typical_scenarios / emotional_spectrum / role_type 5 类字段中的 2 类以上,meta_layer_not_business,本条为内部素材管理评估元规则属字段成熟度治理颗粒度过细且与已抽 KP-product_attribute-persona-field-fill-state 字段成熟度治理 pack 形成冗余,跳过参考 persona-field-fill-state 与新增 role-material-five-kinds-minimum,open,2026-05-03
UP-tcb13-003,Q4-人设种子/phase-3-Q4-首批岗位知识素材清单.md,二、2.3 先收高频可复用可对照的素材,冷启动阶段优先收高频发生/多门店多品牌可复用/能与别岗位形成对照/能稳定支撑首批 ContentType 的素材,duplicate_or_redundant,"与本卡新增 KP-training_unit-cold-start-role-priority-frontline 中""先做前台一线后做纵深决策""以及已抽 KP-training_unit-priority-by-impact-frequency-trust 形成实质重叠不再单独立 pack",跳过,open,2026-05-03
UP-tcb13-004,Q4-人设种子/phase-3-Q4-首批岗位知识素材清单.md,三、3.1~3.7 首批 7 个岗位的素材清单逐岗 A/B/C/D/E 段+推荐证据来源+3 个硬证据,7 个 RoleProfile（store_manager / warehouse_supervisor / sales_associate / designer / sample_worker / design_director / merchandising_director）每岗 5 类素材子条目+推荐证据来源+首批最少 3 个硬证据建议清单,meta_layer_not_business,"本节为各岗位素材采集执行清单（""要去收什么""列表）非具体业务知识断言；岗位手感与判断逻辑已在 TC-B07/B08/B09 抽得（store-manager-rhythm-first / warehouse-supervisor-fact-not-promise / sample-worker-rework-as-judgment / merch-director-stylable-not-sellable / designer-locate-defect-source 等）岗位画像清单本身归口于 domain_skeleton",跳过参考 B07/B08/B09 已抽岗位 pack,open,2026-05-03
UP-tcb13-005,Q4-人设种子/phase-3-Q4-首批岗位知识素材清单.md,五、统一采集模板（字段占位）,role_profile_id / material_id / material_type / scenario_tag / evidence_summary / can_support_fields / risk_note / source_owner / verification_status 9 个素材管理内部字段表,meta_layer_not_business,"原文明示""上述字段是素材管理内部字段不是 RoleProfile 实体 schema 不触发 schema 变更"" → 属采集工具字段而非领域 schema 不进 9 表",跳过,open,2026-05-03
UP-tcb13-006,Q4-人设种子/_index.md,全文（Q4 交付物模板索引）,Q4 主裁决稿入口/三套 Persona 卡片+RoleProfile 清单是对象真源/矩阵+素材+参数是支撑文档 等 Q4 体系的工作区导航说明,meta_layer_not_business,_index.md 为工作区目录性质索引文档非具体业务知识断言；其指向的下游文档已在 TC-B09/B10/B11/B12 各自抽取,跳过,open,2026-05-03
UP-tcb10-001,Q4-人设种子/phase-3-Q4-三套通用Persona首批卡片.md,卡片1/2/3 §2.1 role_type + §2.2 life_archetype + §2.3 emotional_spectrum + §2.4 authenticity_anchors,三套 Persona 各自字段值最小集（role_type 待补由挂接 RoleProfile 回填 / life_archetype 候选池单值 / emotional_spectrum 候选 3 条 / authenticity_anchors 最小集 4 条 / typical_scenarios 最小集）,duplicate_or_redundant,字段成熟度治理（frozen/candidate/pending）已在 TC-B09 KP-product_attribute-persona-field-fill-state 通用化覆盖；具体字段值是 candidate 阶段过渡值待 Q21/Q22 冻结后再决定是否落 9 表 value_set；本卡不重复抽具体值,跳过待 Q21/Q22 冻结后由参数级填充补,open,2026-05-03
UP-tcb10-002,Q4-人设种子/phase-3-Q4-三套通用Persona首批卡片.md,卡片1 §2.1 role_type 待补说明 + 卡片3 §2.1 多挂 RoleProfile,role_type schema 单值 vs 多挂 RoleProfile 的方案 A/B/C 待裁决,duplicate_or_redundant,该 schema 语义裁决已在 TC-B09 KP-product_attribute-persona-six-field-shell 的 alternative_path 内登记 Pending；本卡不重复立 pack,跳过待 schema 升级评审,open,2026-05-03
