source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,recipe_id,content_type,output_format,platform,intent_scope,required_views,retrieval_plan_json,step_sequence_json,context_budget_json,fallback_policy_id,guardrail_policy_id,merge_policy_id,business_brief_schema_id
RECIPE-behind_the_scenes-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,15642d58bf2d72acb17d717a90eb2b65d5b0340ea1379541c455b18b3945bd5a,RECIPE-behind_the_scenes-text-xiaohongshu-480b5a5308,behind_the_scenes,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""behind_the_scenes""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-daily_fragment-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,c045ea94115217c50ea1ebb895fd6f0b4966aa33c71baac8c7c40fb8974befdd,RECIPE-daily_fragment-text-xiaohongshu-d149cd9f15,daily_fragment,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""daily_fragment""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-emotion_expression-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,789263ec704a8abe25ce72cdbe9bc8d7e25df1913ffb55b7caade04ac241dc7c,RECIPE-emotion_expression-text-xiaohongshu-f55addee97,emotion_expression,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""emotion_expression""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-event_documentary-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,7ebcd80c986a317a6761182bdfeef2f40a128830636e9f028cc05c1469e27382,RECIPE-event_documentary-text-xiaohongshu-ac6fe6b47a,event_documentary,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""event_documentary""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-founder_ip-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,51b5cb68f83fe8dca590dcfc99f268a5563ccd6241a9c3e071e8ccd91c10c63e,RECIPE-founder_ip-text-xiaohongshu-24d0adb574,founder_ip,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""founder_ip""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-humor_content-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,521781d8bb46d1b34fc2b9cdd0b00f5dde47d5950514bd2995b3b88c9ef13ef5,RECIPE-humor_content-text-xiaohongshu-1737ea84ea,humor_content,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""humor_content""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-knowledge_sharing-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,9dad487845885b974f7cdf9ab5729016fe2365269cf8bdd0e45eda023c86de10,RECIPE-knowledge_sharing-text-xiaohongshu-89191ad8e5,knowledge_sharing,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""knowledge_sharing""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-lifestyle_expression-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,327e19f9e6bf1027a64837de6cb5678d609ed8cc99dcc16ed01bfeae773454fe,RECIPE-lifestyle_expression-text-xiaohongshu-f671d1fbc9,lifestyle_expression,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""lifestyle_expression""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-outfit_of_the_day-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,7ead2bdad57ebd40f2b194eaab46ccea0dd70f03ba7156002d19e7c27470e636,RECIPE-outfit_of_the_day-text-xiaohongshu-2b1086d2bc,outfit_of_the_day,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""outfit_of_the_day""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
RECIPE-personal_vlog-text-xiaohongshu,domain_general,L2,active,"[""content_type_view.csv"", ""business_brief.schema.json""]",[],full,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,86c2c7633df96cc72965a6b36947b2beb8bb32e68d7113d944588d3a81d80af0,RECIPE-personal_vlog-text-xiaohongshu-b227283672,personal_vlog,text,xiaohongshu,fallback_default,"[""content_type_view"", ""pack_view"", ""play_card_view"", ""runtime_asset_view"", ""evidence_view""]","{""filter"": {""content_type"": ""personal_vlog""}, ""primary_views"": [""pack_view"", ""play_card_view""], ""secondary_views"": [""runtime_asset_view"", ""evidence_view""], ""top_k"": 5}","[{""step"": ""resolve_brand_layer""}, {""step"": ""retrieve_packs""}, {""step"": ""retrieve_play_cards""}, {""step"": ""retrieve_assets""}, {""step"": ""compose_context""}, {""step"": ""validate_business_brief""}]","{""max_chunks"": 8, ""max_tokens"": 4000, ""reserved_for_brand_overlay"": 400}",fp_default_v1,gp_default_v1,mp_brand_over_domain_v1,https://diyu.local/schema/business_brief.schema.json
