task_id,phase,wave,depends_on,s_gates,plan_sections,writes_clean_output,status
KS-S0-001,S0,W0,,S0,"§12 S0;§A2.1",true,done
KS-S0-002,S0,W0,KS-S0-001,S0,"§12 S0;§A2.2",true,done
KS-S0-003,S0,W0,,S0,"§A2.4",true,done
KS-S0-004,S0,W0,KS-S0-003,S0,"§A2.5;§8",true,done
KS-S0-005,S0,W0,,S0,"§3.2;§A2.6",false,done
KS-S0-006,S0,W0,KS-S0-001,S0,"§2;§A2",true,done
KS-POLICY-005,Policy,W0,,S12,"§9.1",false,done
KS-SCHEMA-001,Schema,W1,KS-S0-006,,"§3;§2",false,done
KS-SCHEMA-002,Schema,W1,KS-S0-006,,"§4",false,done
KS-SCHEMA-003,Schema,W1,KS-S0-006,,"§5",false,done
KS-SCHEMA-004,Schema,W1,KS-S0-006,S11,"§A4;§3.3",false,done
KS-DIFY-ECS-001,Dify-ECS,W1,KS-S0-003,,"§A1;§A2.4",false,done
KS-DIFY-ECS-011,Dify-ECS,W1,KS-S0-003;KS-DIFY-ECS-001,,"§A1;§A2.4",false,done
KS-SCHEMA-005,Schema,W2,KS-SCHEMA-001;KS-SCHEMA-002;KS-SCHEMA-003;KS-SCHEMA-004,,"§11",false,done
KS-DIFY-ECS-002,Dify-ECS,W2,KS-DIFY-ECS-001,,"§A1",false,done
KS-COMPILER-001,Compiler,W3,KS-SCHEMA-005;KS-S0-005,S1;S2;S3;S4,"§3.1",false,done
KS-COMPILER-002,Compiler,W3,KS-SCHEMA-005;KS-S0-005,S1;S2;S3;S4,"§3.2",false,done
KS-COMPILER-004,Compiler,W3,KS-SCHEMA-005,S6,"§3.4",false,done
KS-COMPILER-005,Compiler,W3,KS-SCHEMA-005,S1,"§3.5",false,done
KS-COMPILER-006,Compiler,W3,KS-SCHEMA-005,S3,"§3.6",false,done
KS-COMPILER-007,Compiler,W3,KS-SCHEMA-005,S5,"§3.7",false,done
KS-COMPILER-008,Compiler,W3,KS-SCHEMA-002,,"§4.1",false,done
KS-COMPILER-009,Compiler,W3,KS-SCHEMA-002,S7,"§4.2",false,done
KS-COMPILER-010,Compiler,W3,KS-SCHEMA-002;KS-S0-005,,"§4.3",false,done
KS-COMPILER-011,Compiler,W3,KS-SCHEMA-002,,"§4.4",false,done
KS-COMPILER-012,Compiler,W3,KS-SCHEMA-002,S8,"§4.5",false,done
