RL-KP-product_attribute-content-type-north-star-founder-ip,content_type_north_star_anchor,新增 founder_ip 玩法卡或审核一条创始人内容时,玩法呈现具体决策/失败样衣/代价显形/判断证据链 → 进 C2/C3,玩法落到鸡汤口播/流水账/成功拼贴/工厂巡视/对镜穿搭 → C1 强默认禁用,与 role_work_vlog 按第一叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-founder-ip
RL-KP-product_attribute-content-type-north-star-knowledge-sharing,content_type_north_star_anchor,新增 KS 玩法卡或审核一条 KS 内容时,玩法有现场证据+为什么是你（先讲人生 / 桌面实验 / 错误倒叙 / 听诊器 / 动作证明）→ 进 C2/C3,站桩 3 点 / PPT 大字报 / '99%的人不知道'耸动 → 主流默认禁用,与 training_material 边界延后边界矩阵处理,domain_general,KP-product_attribute-content-type-north-star-knowledge-sharing
RL-KP-product_attribute-content-type-north-star-talent-showcase,content_type_north_star_anchor,新增 talent_showcase 玩法卡或审核一条才艺内容时,玩法呈现过程笨拙/救场/微技能/传递/反预期场景 → 进 C2/C3,只剩成品展示 / 卡点炫技 / 高光合集 → 主流默认禁用,与 knowledge_sharing 按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-talent-showcase
RL-KP-product_attribute-content-type-north-star-training-material,content_type_north_star_anchor,新增 training_material 玩法卡或审核兵团向培训内容时,动作层面示范 / 先判断再答案 / 微学习 ≤ 90 秒 / 真实门店 → 进 C2/C3,PPT 录屏 / 话术灌输 / 20 分钟长视频 → 主流默认禁用,与前 17 份消费者向 CT 在观众上硬切换 / 与 store_daily 在目标观众上互逆,domain_general,KP-product_attribute-content-type-north-star-training-material
RL-KP-styling_rule-behind-scenes-invisible-completion-cost,content_play_card_anchor,behind_the_scenes 内容选卡 / 任意品牌日常经营劳动场景,非glamorous劳动+局部特写+疲惫+收尾动作 → 观众接住完成成本产生尊重,拍成流水线 ASMR / 仓库打包美学 / NG 集锦 → 退化主流默认禁用,后台为事件服务 → event_documentary / 成品诞生 → product_journey,domain_general,KP-styling_rule-behind-scenes-invisible-completion-cost
RL-KP-styling_rule-old-sample-as-error-archive,founder_ip_signature_play_priority,服装品牌建立 founder_ip 内容资产 / 选玩法时,用旧样衣具体物件做'判断证据链'叙事 → 信任感远强于口号,讲抽象创业初心/品牌使命无物件 → 鸡汤口播反向伤品牌,没旧样衣 → 退用桌面证物或决策日记；过于敏感 → 用沉默日志或门口角色切换,domain_general,KP-styling_rule-old-sample-as-error-archive
RL-KP-styling_rule-talent-showcase-micro-skill-hundred-reps,content_play_card_anchor,服装行业微技能（丝巾/袖口/下摆/收腰/打结/卷裤脚）的 talent_showcase 内容创作,重复+失败保留+最后一次定格 → 观众接住控制力,只拍成品/卡点炫技 → 退化为 C1 默认禁用,也可走才艺即救场卡,domain_general,KP-styling_rule-talent-showcase-micro-skill-hundred-reps
RL-KP-training_unit-error-first-then-correct-replay,store_training_play_card,高频翻车的接客判断场景（顾客试穿反馈/砍价/退换/试穿犹豫）,30 秒：错+定格+倒带正确版本 → 员工内化判断顺序,先讲正确话术让员工背 → 员工本能反应仍翻车,纯动作 SOP 走 Do/Don't 对照或 SOP ASMR,domain_general,KP-training_unit-error-first-then-correct-replay
RL-KP-training_unit-event-documentary-long-term-tier-discipline,long_term_tier_compliance,事件纪实玩法素材采集天然跨日（如 72 小时时间压缩 / 定点延时）,成片 ≤ 4 小时 + 元数据标 long_term + 进默认调用池,成片不收敛 → 突破基线；或偷换为 4 小时摆拍 → 失去时间真实纵深,创作者无法跨日 → 改用 C3-1/C3-2 等单条完成玩法；成片大幅超 4 小时 → 拆系列短片,domain_general,KP-training_unit-event-documentary-long-term-tier-discipline
RL-KP-training_unit-humor-content-brand-tone-gate-for-puppetry,play_card_brand_tone_gate,humor_content 玩法卡带🎨 品牌调性提示行（如 C3-5 衣架木偶戏）,调性匹配则调用 / 不匹配则改用其他玩法品牌资产不受损,强行调用导致调性硬冲突 → 观众感知装亲民反弹品牌资产受损,中性调性 → 走人工裁决；不匹配 → 改用 C3-1 全调性兼容玩法,domain_general,KP-training_unit-humor-content-brand-tone-gate-for-puppetry
RL-KP-training_unit-humor-content-clothing-as-persona-switch,clothing_as_persona_switch,humor_content 突破性档想做身份反差幽默,笑点来自身份落差服装承担人格开关功能成本极低,服装当反转道具前后换装 → 滑向廉价反转套路观众先看见套路,冷感/高端调性 → 改用认知翻面减弱戏剧性；不愿分饰多角 → 改用评论区第二人格,domain_general,KP-training_unit-humor-content-clothing-as-persona-switch
RL-KP-training_unit-lifestyle-expression-old-defines-premium,old_defines_premium,lifestyle_expression 突破性档；长期主义/反消费主义品牌叙事,真实磨损 + 陪伴叙事自然引出耐穿可修补卖点品牌长期主义可信,伪做旧或摆拍磨损 → 违反真实约束观众秒识破,快时尚品牌或新品发布 → 改用气味叙事/散文电影；无足够磨损旧衣 → 进 unprocessable 不许伪做,domain_general,KP-training_unit-lifestyle-expression-old-defines-premium
RL-KP-training_unit-lifestyle-expression-values-via-rejection,values_via_rejection_play,lifestyle_expression 突破性档想表达生活立场避免说教距离感,拒绝动作 + 物件并排 + 极少字幕观众接住边界感秩序感,slogan 贴脸输出或鸡汤字幕替代生活动作 → 观众识别为说教距离感推开,无具体拒绝场景 → 改用反差场景柔软穿着；动作过戏剧化 → 改用气味叙事视觉化,domain_general,KP-training_unit-lifestyle-expression-values-via-rejection
RL-KP-training_unit-process-trace-stop-the-bad-one-builds-trust,stop_the_bad_one_builds_trust,process_trace 突破性档品牌有自主质检过程,拍被拦下的衣服 + 具体瑕疵 + 返工筐观众接住边界感,严格把控 + 大型工厂全景 + 字幕诗朗诵 → 透明焦虑行业看似公开实则空泛难说服,无质检 → 改用只拍手不拍脸；不便公开瑕疵 → 改用一刀之前的静止,domain_general,KP-training_unit-process-trace-stop-the-bad-one-builds-trust
RL-KP-training_unit-sop-asmr-procedural-memory,store_training_play_card,服装行业可视化 SOP（蒸烫/折叠/装袋/贴标/封口/挂装/量体）,20-60 秒无口播+动作声+关键 1-2 字字幕 → 员工在工作时当场刷一条,PPT 录屏 / 长旁白 / 满屏字 → 程序性记忆通道关闭,接客判断走分支情境或错误先倒回,domain_general,KP-training_unit-sop-asmr-procedural-memory
RL-KP-training_unit-talent-showcase-rescue-not-show-off,talent_as_rescue,talent_showcase 突破性档有真实救场场景,救场叙事观众接住有用有温度把创作者当作值得追随,正面站桩展示完成品 → 只记得会不记得是谁简历感强,无救场对象 → 改用同动作练 100 次；过专业普通观众难识别 → 改用 ASMR 化才艺,domain_general,KP-training_unit-talent-showcase-rescue-not-show-off
