field_id,owner_type,field_name,data_type,value_set_id,semantic_id,brand_layer,source_pack_id
FD-FabricKnowledge-hand_feel,FabricKnowledge,hand_feel,enum,,,domain_general,KP-fabric_property-linen-natural-creases
FD-FabricKnowledge-drape,FabricKnowledge,drape,enum,,,domain_general,KP-fabric_property-linen-natural-creases
FD-FabricKnowledge-risk_alerts,FabricKnowledge,risk_alerts,list_of_string,VS-KP-fabric_property-linen-natural-creases-risk_position,SM-KP-fabric_property-linen-natural-creases-natural_creases,domain_general,KP-fabric_property-linen-natural-creases
FD-CustomerScenario-trigger_phrase,CustomerScenario,trigger_phrase,string,,,domain_general,KP-service_judgment-comfort-sensitive-trigger
FD-CustomerScenario-first_judgment,CustomerScenario,first_judgment,string,VS-KP-service_judgment-comfort-sensitive-trigger-concern_dimension,SM-KP-service_judgment-comfort-sensitive-trigger-comfort_concern,domain_general,KP-service_judgment-comfort-sensitive-trigger
FD-DisplayGuide-display_unit,DisplayGuide,display_unit,enum,,SM-KP-display_rule-full-look-no-broken-size-full_look,domain_general,KP-display_rule-full-look-no-broken-size
FD-InventoryState-state_label,InventoryState,state_label,enum,VS-KP-display_rule-full-look-no-broken-size-allowed_inventory,,domain_general,KP-display_rule-full-look-no-broken-size
FD-Category-category_id,Category,category_id,string,,,domain_general,KP-product_attribute-core-category-7-plus-3
FD-Category-category_name,Category,category_name,string,,,domain_general,KP-product_attribute-core-category-7-plus-3
FD-Category-parent_category_id,Category,parent_category_id,string,,,domain_general,KP-product_attribute-core-category-7-plus-3
FD-Category-is_core_category,Category,is_core_category,boolean,,SM-KP-product_attribute-core-category-7-plus-3-core_vs_extended,domain_general,KP-product_attribute-core-category-7-plus-3
FD-Attribute-attribute_id,Attribute,attribute_id,string,,,domain_general,KP-product_attribute-shared-6-decision-dims
FD-Attribute-attribute_name,Attribute,attribute_name,string,,SM-KP-product_attribute-shared-6-decision-dims-shared_core,domain_general,KP-product_attribute-shared-6-decision-dims
FD-Attribute-decision_level,Attribute,decision_level,enum,,SM-KP-product_attribute-decision-level-hard-vs-high-decision_level,domain_general,KP-product_attribute-shared-6-decision-dims
