pack_id,yaml_path,brand_layer_dir,knowledge_assertion_excerpt,granularity_layer,runtime_asset_id_default,asset_type_guess,asset_type,runtime_asset_id,title,summary,review_notes
KP-craft_quality-sewing-stitch-pucker-near-eye,candidates/domain_general/KP-craft_quality-sewing-stitch-pucker-near-eye.yaml,domain_general,"缝制质量（线迹 / 跳针 / 缝口起皱）是""近看质感工艺""——顾客不一定会说 seam puckering， 但她一定能看出""这件怎么有点抽、歪、鼓、皱""； 门店要把缝口起皱定位为面料结构 + 缝型 + 针线规格 + 送布问题的综合症状， 不是单线问题，更不是顾客挑剔。",L3,RA-craft_quality-sewing-stitch-pucker-near-eye,role_split,role_split,,缝口起皱近看分工,把缝口起皱拆给门店与质检分别判断，避免把综合工艺问题说成顾客挑剔。,W12.A 人工审表确认
KP-craft_quality-store-risk-discipline-evidence-first,candidates/domain_general/KP-craft_quality-store-risk-discipline-evidence-first.yaml,domain_general,"门店统一风险口径必须建立在""看证据、不看感觉""上—— 能不能机洗看洗护标 / 会不会缩看预缩水洗定型 / 会不会皱看纤维织法整理 / 会不会透看颜色厚度织法光线 / 会不会起球看摩擦场景 / 会不会勾丝看表面与场景 / 会不会显廉价看面料表情 + 缝制 + 收口 + 光泽控制 / 会不会翻车看顾客穿着习惯与容忍度。",L3,RA-craft_quality-store-risk-discipline-evidence-first,role_split,role_split,,门店风险证据分工,统一门店风险判断的证据优先顺序，让不同岗位按洗标织法场景给出一致口径。,W12.A 人工审表确认
KP-fabric_property-composition-only-no-scenario-bound,candidates/domain_general/KP-fabric_property-composition-only-no-scenario-bound.yaml,domain_general,"只讲成分不讲穿着情境是高频误判——成分只是起点， 真正决定成交是否成立的是顾客的场景、动作、出汗、久坐、洗护、摩擦六维情境； 门店推荐必须把""成分讲解""和""情境询问""绑定为一对动作。",L3,RA-fabric_property-composition-only-no-scenario-bound,action_template,action_template,,成分情境绑定动作,推荐面料时先询问穿着情境和动作，再解释成分，避免只讲参数造成误判。,W12.A 人工审表确认
KP-fabric_property-gloss-not-equal-luxe,candidates/domain_general/KP-fabric_property-gloss-not-equal-luxe.yaml,domain_general,"""有光泽""不等于""显贵""——光泽会同步放大体表痕迹、褶印、贴肉和廉价感； 推荐前必须区分""显贵光泽""vs""显廉价光泽""，不是所有亮度都加分。",L3,RA-fabric_property-gloss-not-equal-luxe,role_split,role_split,,光泽廉价风险判断,把显贵光泽和显廉价光泽拆成门店推荐前的判断分工，防止亮面材质被误推。,W12.A 人工审表确认
KP-product_attribute-clothing-as-emotional-medium-stance,candidates/domain_general/KP-product_attribute-clothing-as-emotional-medium-stance.yaml,domain_general,,L3,RA-product_attribute-clothing-as-emotional-medium-stance,role_split,role_split,,衣服情绪媒介分工,明确内容与门店角色如何把衣服当情绪媒介，而不是只按商品卖点表达。,W12.A 人工审表确认
KP-service_judgment-comfort-sensitive-trigger,candidates/domain_general/KP-service_judgment-comfort-sensitive-trigger.yaml,domain_general,"当顾客抛出""会不会扎 / 热 / 透 / 勒 / 掉""这类体感问题时，导购的第一动作不是回答""不会""， 而是先识别她真正介意的是触感、温度、透度、弹性、静电还是内搭难度中的哪一个； 体感顾虑没讲透就接着推套装，后面推几套都白搭，因为这是信任问题而不是选品问题。",L3,RA-service_judgment-comfort-sensitive-trigger,action_template,action_template,,体感顾虑识别动作,顾客提出扎热透勒等问题时，先识别真实体感维度，再进入推荐动作。,W12.A 人工审表确认
KP-service_judgment-functional-gap-fill,candidates/domain_general/KP-service_judgment-functional-gap-fill.yaml,domain_general,"顾客说""我家里都有，就缺一件外套/裤子/内搭""时，导购第一动作是先问她家里已有的主色、主版型、最常穿去哪里—— 这类客不卡第二套，卡的是""利用率有没有讲透""；只要能补全衣柜缺口就能转，是断码最容易救的场景。",L3,RA-service_judgment-functional-gap-fill,dialogue_template,dialogue_template,,衣柜缺口追问话术,针对缺外套裤子内搭的顾客，先追问已有主色版型和常用场景再推荐。,W12.A 人工审表确认
KP-service_judgment-ready-made-full-set,candidates/domain_general/KP-service_judgment-ready-made-full-set.yaml,domain_general,"顾客说""你直接给我搭一套，我不想自己想""时，导购第一动作是先判断她要的是省心、要的是速度、还是确实不会搭——三种动机的推法不同； 第一套解决""现成""，第二套才决定""值不值得整套带走""；断码可救但必须保整体气质，禁一件一件乱换。",L3,RA-service_judgment-ready-made-full-set,action_template,action_template,,整套省心判断动作,顾客要求直接配一套时，先判断省心速度或不会搭的动机，再给第二套验证。,W12.A 人工审表确认
KP-service_judgment-repeat-purchase-replenish,candidates/domain_general/KP-service_judgment-repeat-purchase-replenish.yaml,domain_general,"顾客说""我上次买那条裤子挺好穿的，再给我拿一条类似的""时，导购第一动作是先问她上次满意的是版型、长度、面料、颜色还是穿着场景—— 老客拿旧款做对照，容错很低；断码可救但只能在""同逻辑""下替，不能用""差不多""糊弄老客。",L3,RA-service_judgment-repeat-purchase-replenish,role_split,role_split,,老客复购替代分工,老客按旧款复购时，导购和库存角色需围绕同逻辑替代，不能用差不多糊弄。,W12.A 人工审表确认
KP-service_judgment-shape-correction,candidates/domain_general/KP-service_judgment-shape-correction.yaml,domain_general,"顾客说""我胯大/肩宽/腿粗，给我找个修一点的""时，导购第一动作是先定位她最在意的身体部位，再确认能接受的松量、长度、腰线、露肤点； 这类客买的是安全感不是衣服——关键版型/长度/落肩不对，话术再好都不能救，断码必须直接转向不能硬推。",L3,RA-service_judgment-shape-correction,dialogue_template,dialogue_template,,身型修饰确认话术,面对胯大肩宽腿粗等诉求，先确认最在意部位和可接受边界再推荐。,W12.A 人工审表确认
