source_md,heading_path,heading_level,body_length,body_hash,adjudication_status,sub_reason,adjudicator,priority,w10_rationale,batch_target,suggested_layer,suggested_status,confidence,suggestion_rationale,needs_human_review,reviewer_decision,final_layer,final_status,merge_target,production_tier,default_call_pool,review_notes
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,E. 2025-2026 四大内容趋势（平台级背景）,2,97,e6e484cc73b1,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,已入库默认 L1，但 heading/body 命中 L2 词 ['玩法']，建议人工回标,true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,F. 与现有 ContentType 交付物的调用关系（v0.1 当前状态）,2,83,34947513c4d2,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,本轮未回写的边界,3,91,96657ac1019b,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,H.2 β 适用场景标签 (β Scenario Tag) — **M7 用户裁决：升共享层**,3,651,305249a9fde3,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,J.1 玩法分级标准 (Play-Card Tier Standard) — M3 用户裁决,3,688,45a6a55a3bab,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', 'tier', 'instant']，建议人工回标",true,override,L1,extract_l1,,,,L2词命中但本体是概念判断，回标为L1
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,J.2 隐私同意统一口径 (Privacy Consent Unified Policy) — M5 用户裁决,3,493,9e8d25983564,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,J.3 字段语义映射标准 (Field Semantic Mapping Standard) — 2026-04-14 落盘（v0.2.1）,3,2944,df2e9b030874,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,与 13 份 ContentType 交付物的关键差异点,2,816,6bd800c37279,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,已入库默认 L1，但 heading/body 命中 L2 词 ['玩法']，建议人工回标,true,override,L_NA,unprocessable,,,,结构性章节或分组标题，不作为独立知识资产
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,"玩法卡 #C2-1 —— ""整条幕后只围绕'今天差点出什么事' / 一条内容的诞生""",4,857,15f8bf8822f5,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,"玩法卡 #C2-2 —— ""不拍 glamour，只拍没人愿意拍的劳动""",4,656,47f32faaaa86,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,"玩法卡 #C3-2 —— ""同一秒的两面 / 平行世界 BTS""",4,873,1a8aea048295,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,"玩法卡 #C3-4 —— ""店的声纹 / 10 个声音组成一条幕后""",4,1116,b762ead2cd37,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
Q2-内容类型种子/daily_fragment-交付物-v0.1.md,"玩法卡 #C1-1 —— ""配热门歌的碎片拼盘""",4,370,2beac39a26a8,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,,L2,extract_l1,low,"已入库默认 L1，但 heading/body 命中 L2 词 ['玩法', '玩法卡']，建议人工回标",true,override,L2,extract_l2,,instant,true,确认L2玩法卡；补齐生产分级字段
