RL-KP-product_attribute-compat-matrix-truth-source-layering,matrix_truth_source_layering_rule,新增/调整 Persona×CT×Platform 矩阵相关任意一条边时,改 Persona×CT 真源 + 改 SUPPORTS_PLATFORM + 派生层运行时计算,新建 Persona×Platform 或 CT×Platform 关系边 / 静态写入派生表,出现单点平台例外可升级为真源边，但默认起点仍是本分层,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
RL-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,parallel_object_type_specification,设计或评审平台层对象类型 / Q3 真源被 Q4 引用时,保留两类并列实体 派生引擎正确区分公私域查 tier 导购私域转化主路径完整可见,合并为单一 Platform 或引入 DistributionTarget→公私域字段差异被压扁→私域转化被算法逻辑误导,口语统称允许；新增第三类→新增并列实体；想统一查询→union 视图层 不合并底层,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
RL-KP-service_judgment-derived-view-risk-inherits-from-source-edge,derived_view_risk_propagation,"派生引擎计算 (Persona,ContentType,Platform/Channel) 三元组的风险位时",risk 100% 来自真源边 风险信息全链路保真 不被平台档位稀释,按 tier 折算风险→高 tier 平台把人设错位高风险吞掉→品牌真实性塌陷,平台合规风险独立挂 PlatformTone.platform_risk；想降 risk 改真源边不走平台稀释,domain_general,KP-service_judgment-derived-view-risk-inherits-from-source-edge
RL-KP-service_judgment-product-review-concerns-clearance-on-spot,on_spot_concerns_clearance_test,实体门店接客 / 顾客已说出具体顾虑 / 1-2 人即可,复述顾虑+现场测试（逆光/侧身/贴脸颊）+延迟结论 → 顾客被同盟而非被种草,形容词代替测试 → E1 红线 / 主动列优点不让说顾虑 → 销售推销 / 测完直接催单 → 硬广反感,顾客未说顾虑 → store_daily 欢迎流程 / 顾虑超出测试能力 → C2-3 面料侦探 / 引流场景 → C3-2 创作者自述版,domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
RL-KP-styling_rule-behind-scenes-parallel-split-screen,content_play_card_anchor,behind_the_scenes 拍摄/上新/门店现场 + 1-2 人 + 剪映双屏,左右同步并置（体面 vs 救火）→ 调用共享引擎 #2 认知反转 → C3 突破档,做成前后切换 → 退化为 event_documentary C3-3 / 无真实画面外素材强行分屏 → 表演化,后台为事件服务 → event_documentary 错位展示版本,domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
RL-KP-styling_rule-behind-scenes-store-soundprint,content_play_card_anchor,实体门店 BTS 选卡 / 想沉淀品牌声音资产 / 1 人手机+可选领夹麦,10 段店内空间声音+极近景+中段静音+关灯收尾 → 共享引擎 #11 ASMR → 闭眼能听完,配 BGM 遮原声 / 视觉为主 / 复用同声音 → 退化为店内 vlog / 商品音效广告,工作动作 ASMR → role_work C3-3 / 面料触感 → process_trace C3-6 或 product_review C3-3 / 生活时段声音 → daily_fragment C3-4,domain_general,KP-styling_rule-behind-scenes-store-soundprint
RL-KP-styling_rule-daily-fragment-fixed-corner-time-fold,content_play_card_anchor,daily_fragment long_term 选卡 / 5-7 天连续素材积累 / 服装品牌做陪伴感内容,固定机位+跨日重复同时刻+服装作为时间变化证据 → 不连续瞬间集合的隐形时间线索,加旁白讲故事 → 滑向 personal_vlog 连续感 / 加穿搭讲解 → 滑向 OOTD/硬广,无法等多日 → C3-2 单日痕迹版 / 单日时段切换 → C3-5 同一椅子四次,domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
RL-KP-styling_rule-daily-fragment-sensory-sort-not-time,content_play_card_anchor,daily_fragment 单日 4 小时 / 想突出体感而非事件,三段感官分类（最软/最吵/最安静）+ 字幕极简 → 观众接住体感不是行程,做成商品分类 → 产品广告 / 加事件解释 → 滑向 personal_vlog,时间线索 → C3-1 / 声音单维度 → C3-4 / 决定穿什么 → OOTD C3-5,domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
RL-KP-styling_rule-daily-fragment-single-chair-time-fold,content_play_card_anchor,daily_fragment 单日 4 小时内完成 / 服装品牌做温柔叙事,单机位+4 时段道具替身（外套/咖啡/购物袋/灯）+只露手+停 2 秒 → 服装作为情绪载体,换成商品摆拍/字幕讲卖点/加 BGM → 退化为商品碎片或 store_daily,想跨日 → C3-1 同一角落 / 想出镜 → personal_vlog / 想拍商品 → OOTD 或 product_review,domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
RL-KP-styling_rule-ootd-micro-suspense-decision-chain,content_play_card_anchor,OOTD C3 突破档 / 服装可解决具体场景问题 / 1 人手机 4 小时内,微悬疑开场+换装因果链（手机震动/走光/线头）+收口悬疑 → 决策过程被叙事化,因果改卡点 → C1-3 默认禁用 / 换装无因果 → 流水账 / 悬疑不收 → 钩子断,无功能差异 → C3-2 身份协商或 C3-6 情绪衣橱 / 不擅剪因果 → C3-1 路线适配 / 商品顾虑证据 → product_review C3-2,domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
RL-KP-styling_rule-ootd-route-fitness-not-display,content_play_card_anchor,OOTD C3 突破档 / 服装有真实生活功能可拍 / 1 人 1 手机真实路线,真实路线+4 个生活功能字幕（挡风/收袖/走动/松弛）→ 观众接住生活+情绪双功能,空词字幕 → E3 红线 / 加 SKU 报菜名 → E4 红线 / 摆拍多机位 → 镜前转圈变体,商品评测重心 → product_review C3-1 / 个人情绪流 → personal_vlog / 礼服无功能 → C3-2 身份协商或 C3-6 情绪衣橱,domain_general,KP-styling_rule-ootd-route-fitness-not-display
