mapping_id,runtime_method,input_types,output_types,governing_rules_json,brand_layer,source_pack_id
CM-outfit_recommendation-KP-fabric_property-linen-natural-creases,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""StylingRule"",""RiskDisclosure""]","{""governed_by"":[""RL-KP-fabric_property-linen-natural-creases""]}",domain_general,KP-fabric_property-linen-natural-creases
CM-store_training-KP-fabric_property-linen-natural-creases,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-fabric_property-linen-natural-creases""]}",domain_general,KP-fabric_property-linen-natural-creases
CM-store_training-KP-service_judgment-comfort-sensitive-trigger,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-comfort-sensitive-trigger""],""format"":""branching_scenario|do_dont_contrast""}",domain_general,KP-service_judgment-comfort-sensitive-trigger
CM-outfit_recommendation-KP-service_judgment-comfort-sensitive-trigger,outfit_recommendation,"[""CustomerScenario"",""Product""]","[""StylingRule"",""RiskDisclosure""]","{""governed_by"":[""RL-KP-service_judgment-comfort-sensitive-trigger""]}",domain_general,KP-service_judgment-comfort-sensitive-trigger
CM-display_guidance-KP-display_rule-full-look-no-broken-size,display_guidance,"[""DisplayGuide"",""InventoryState""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-display_rule-full-look-no-broken-size""]}",domain_general,KP-display_rule-full-look-no-broken-size
CM-store_training-KP-display_rule-full-look-no-broken-size,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-display_rule-full-look-no-broken-size""],""format"":""before_after_timelapse|do_dont_contrast""}",domain_general,KP-display_rule-full-look-no-broken-size
CM-outfit_recommendation-KP-product_attribute-decision-level-hard-vs-high,outfit_recommendation,"[""Product"",""Attribute""]","[""StylingRule""]","{""governed_by"":[""RL-KP-product_attribute-decision-level-hard-vs-high""]}",domain_general,KP-product_attribute-decision-level-hard-vs-high
CM-display_guidance-KP-display_rule-attribute-driven-display,display_guidance,"[""DisplayGuide"",""Attribute""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-display_rule-attribute-driven-display""]}",domain_general,KP-display_rule-attribute-driven-display
CM-display_guidance-KP-product_attribute-collection-cold-start-scope,display_guidance,"[""Collection""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-product_attribute-collection-cold-start-scope""]}",domain_general,KP-product_attribute-collection-cold-start-scope
CM-store_training-KP-product_attribute-collection-cold-start-scope,store_training,"[""Collection"",""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-product_attribute-collection-cold-start-scope""]}",domain_general,KP-product_attribute-collection-cold-start-scope
CM-outfit_recommendation-KP-styling_rule-proportion-split-37,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-proportion-split-37""]}",domain_general,KP-styling_rule-proportion-split-37
CM-store_training-KP-styling_rule-proportion-split-37,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-proportion-split-37""]}",domain_general,KP-styling_rule-proportion-split-37
CM-display_guidance-KP-styling_rule-proportion-split-37,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-styling_rule-proportion-split-37""]}",domain_general,KP-styling_rule-proportion-split-37
CM-outfit_recommendation-KP-styling_rule-silhouette-balance,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-silhouette-balance""]}",domain_general,KP-styling_rule-silhouette-balance
CM-store_training-KP-styling_rule-silhouette-balance,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-silhouette-balance""]}",domain_general,KP-styling_rule-silhouette-balance
CM-outfit_recommendation-KP-styling_rule-waistline-anchor,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-waistline-anchor""]}",domain_general,KP-styling_rule-waistline-anchor
CM-store_training-KP-styling_rule-waistline-anchor,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-waistline-anchor""]}",domain_general,KP-styling_rule-waistline-anchor
CM-outfit_recommendation-KP-styling_rule-one-focus,outfit_recommendation,"[""Product""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-one-focus""]}",domain_general,KP-styling_rule-one-focus
CM-store_training-KP-styling_rule-one-focus,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-one-focus""]}",domain_general,KP-styling_rule-one-focus
CM-outfit_recommendation-KP-styling_rule-color-echo,outfit_recommendation,"[""Product""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-color-echo""]}",domain_general,KP-styling_rule-color-echo
CM-display_guidance-KP-styling_rule-color-echo,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-styling_rule-color-echo""]}",domain_general,KP-styling_rule-color-echo
CM-store_training-KP-styling_rule-color-echo,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-color-echo""]}",domain_general,KP-styling_rule-color-echo
CM-outfit_recommendation-KP-styling_rule-neutral-plus-accent,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-neutral-plus-accent""]}",domain_general,KP-styling_rule-neutral-plus-accent
CM-store_training-KP-styling_rule-neutral-plus-accent,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-neutral-plus-accent""]}",domain_general,KP-styling_rule-neutral-plus-accent
CM-outfit_recommendation-KP-styling_rule-structure-drape,outfit_recommendation,"[""Product""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-structure-drape""]}",domain_general,KP-styling_rule-structure-drape
CM-store_training-KP-styling_rule-structure-drape,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-structure-drape""]}",domain_general,KP-styling_rule-structure-drape
CM-outfit_recommendation-KP-styling_rule-premium-item-neutralization,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-premium-item-neutralization""]}",domain_general,KP-styling_rule-premium-item-neutralization
CM-store_training-KP-styling_rule-premium-item-neutralization,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-premium-item-neutralization""]}",domain_general,KP-styling_rule-premium-item-neutralization
CM-outfit_recommendation-KP-styling_rule-face-brightness,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-face-brightness""]}",domain_general,KP-styling_rule-face-brightness
CM-store_training-KP-styling_rule-face-brightness,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-face-brightness""]}",domain_general,KP-styling_rule-face-brightness
