SM-KP-product_attribute-content-type-north-star-behind-scenes-bts_north_star,north_star,behind_the_scenes ContentType 的北极星：愿意把不完美给我看 / 看不见的完成成本——主流禁用三类（NG 集锦 / 仓库流水线 / 正片 teaser）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-behind-scenes
SM-KP-product_attribute-content-type-north-star-daily-fragment-df_north_star,north_star,daily_fragment ContentType 北极星：碎片之间必须有隐形线索 / 选择逻辑——把审美拼贴升级为情绪证据,,domain_general,KP-product_attribute-content-type-north-star-daily-fragment
SM-KP-product_attribute-content-type-north-star-outfit-of-the-day-ootd_north_star,north_star,OOTD ContentType 北极星：穿搭即决策 / 路线-身份-时间-情绪四种叙事；与商业化硬广反向把守,,domain_general,KP-product_attribute-content-type-north-star-outfit-of-the-day
SM-KP-product_attribute-content-type-north-star-personal-vlog-pv_north_star,north_star,personal_vlog 北极星：陪伴感 + 连续性 + 真实波动；与 daily_fragment 边界 = 连续 vs 不连续,,domain_general,KP-product_attribute-content-type-north-star-personal-vlog
SM-KP-product_attribute-content-type-north-star-role-work-vlog-rwv_north_star,north_star,role_work_vlog 北极星：岗位的智力和手感 / 体感信任；与 founder_ip 边界 = 重心是岗位 vs 人,,domain_general,KP-product_attribute-content-type-north-star-role-work-vlog
SM-KP-product_attribute-enterprise-narrative-six-section-shell-six_field_shell,,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
SM-KP-service_judgment-store-daily-three-required-elements-three_axis,routing_gate,store_daily 三选二硬边界：店铺空间≥50% / 门店物件≥3 次 / 真实零售运营动作≥1,,domain_general,KP-service_judgment-store-daily-three-required-elements
SM-KP-training_unit-emotion-expression-9-ai-tone-banlist-policy,ai_tone_negative_match,α 层 9 种 AI 腔负面样板库：情绪敏感 CT 生成发布前的一票否决清单；命中任一项必须重写不许微调,,domain_general,KP-training_unit-emotion-expression-9-ai-tone-banlist
SM-KP-training_unit-emotion-expression-truth-3-questions-prepublish-anchor,truth_3_questions,真实感三问 = 画面锚点（真实场景）+ 情感锚点（此刻真实）+ 外部锚点（可验证日期/地点/物件）；三问任一答'不'即不应发布为 emotion_expression,,domain_general,KP-training_unit-emotion-expression-truth-3-questions-prepublish
SM-KP-training_unit-event-documentary-failure-perspective-policy,failure_perspective_allowed,event_documentary 允许并推崇失败视角作为 C3 突破性玩法；与 founder_ip 反向透明 + role_work_vlog 岗位失误博物馆构成企业叙事类失败叙事三件套,,domain_general,KP-training_unit-event-documentary-failure-perspective
