pack_id,yaml_path,brand_layer_dir,knowledge_assertion_excerpt,granularity_layer,consumption_purpose,production_tier,default_call_pool,resource_baseline_default,production_difficulty,resource_baseline,hook,steps,anti_pattern,duration,audience,review_notes
KP-service_judgment-product-review-concerns-clearance-on-spot,candidates/domain_general/KP-service_judgment-product-review-concerns-clearance-on-spot.yaml,domain_general,"product_review 内容里，""只拍犹豫 / 不拍优点 / 顾虑解除测评""在 **接客现场**有专属用法：店员站在店内顾客旁边，针对顾客当场说出的""我怕 X"" （怕透 / 怕勒 / 怕扎 / 怕显胯 / 怕短 / 怕显壮 / 怕难搭）， 拿出同款现场做 30 秒以内 3 个具体测试（窗边逆光看透 / 侧身镜前看胯 / 手臂贴脸颊看扎），测试通过后留一句""如果你和我怕的是同几件事，这件可以进",L2,generation,instant,true,1人+手机+200元+4h,medium,,把顾客当场说出的顾虑变成三十秒可见测试,复述顾客最怕的一点;拿同款做三个现场测试;用一句条件式裁决收口,只说不透不勒不显胯却不给任何现场证据,short,正在店里犹豫下单的顾客,W12.A 人工审表确认
KP-service_judgment-product-review-tactile-court-three-piece-compare,candidates/domain_general/KP-service_judgment-product-review-tactile-court-three-piece-compare.yaml,domain_general,"product_review 内容里，""触感法庭 / 同类三件对照声音证据""在**接客现场** 是店内最强转化工具——当两个犹豫的客人选两件相似品时，店员把同类三件 （同为白 T / 同为卫衣 / 同为西装裤）摆桌面俯拍，几乎不说话， 只用衣料摩擦 / 拉伸 / 扣子碰撞 / 拉链""咔哒""声做三段测试 （回弹 / 抬手 / 贴麦声音），最后给一句裁决（""如果你讨厌起球，今天只选 2 号""）。 调用",L2,generation,instant,true,1人+手机+200元+4h,medium,,用三件同类衣服的声音和触感做一场法庭裁决,同类三件摆到同一桌面;依次拍摩擦拉伸扣件声音;最后给出只选几号的裁决,导购一直口播面料好坏而没有同框对照证据,short,在相似款之间犹豫的顾客,W12.A 人工审表确认
KP-styling_rule-behind-scenes-invisible-completion-cost,candidates/domain_general/KP-styling_rule-behind-scenes-invisible-completion-cost.yaml,domain_general,"behind_the_scenes 内容里，""看不见的完成成本""应该用""非 glamorous 劳动""格式拍—— 谁在熨衣服 / 谁在捡地上的胶带 / 谁在搬箱子 / 谁在重新别吊牌 / 谁在把试衣间弄干净 / 谁在拍摄结束后把衣服一件件装回袋子。真正有效的 BTS 不是更漂亮，而是更接近""现实中的完成成本""。 观众把""看不见的劳动""看见后，会自然把品牌从""logo""还原成""认真的人""，建立尊重而",L2,generation,instant,true,1人+手机+200元+4h,low,,让观众看见漂亮成片背后那些没人拍的完成成本,连续拍三个低位劳动瞬间;保留杂乱声音和手部动作;结尾落到认真完成的人,把幕后拍成精修花絮只展示漂亮和热闹,medium,关心品牌真实劳动的人群,W12.A 人工审表确认
KP-styling_rule-behind-scenes-parallel-split-screen,candidates/domain_general/KP-styling_rule-behind-scenes-parallel-split-screen.yaml,domain_general,"behind_the_scenes 内容里，""同一秒的两面 / 平行世界 BTS""应该用最朴素的左右分屏剪辑—— 左边放最终看起来很顺的那 1 秒（模特优雅转身 / 顾客在镜头里笑 / 补光柔美）， 右边放这 1 秒画面外发生了什么（有人蹲地拉裙摆 / 店员伸手接住快掉的展示牌 / 有人举手机当补光喊""左边一点""）。要点是""同步并置""而非""前后切换""—— 与 event_documentary C",L2,generation,instant,true,1人+手机+200元+4h,medium,,同一秒左右分屏揭开成片内外两个世界,选一秒最终顺滑画面;同步放入画面外救场动作;用并置而不是解释制造反差,前后流水账复盘花絮导致同步反差消失,short,喜欢看真实拍摄现场的观众,W12.A 人工审表确认
KP-styling_rule-behind-scenes-store-soundprint,candidates/domain_general/KP-styling_rule-behind-scenes-store-soundprint.yaml,domain_general,"behind_the_scenes 内容里，""店的声纹 / 10 个声音组成一条幕后""是一条 把服装门店声音密度（卷帘门 / 门铃 / 衣架 / 扫码 / 剪吊牌 / 熨烫蒸汽 / 纸袋摩擦 / 试衣间门 / 拉链 / 关灯）做成**品牌识别资产**的玩法—— 全片不靠画面热闹，只用 30 秒里 10 段近距收音的店内声音 + 极近景画面， 画面只服务于声音。本卡聚焦""**空间声纹**""，与 da",L2,generation,instant,true,1人+手机+200元+4h,medium,,用十个门店近距声音做出品牌空间声纹,收集门铃衣架蒸汽纸袋等声音;每个声音配一个极近景;按声音节奏剪成三十秒,只拍店里热闹画面却忽略可识别的声音细节,short,对门店氛围和质感敏感的观众,W12.A 人工审表确认
KP-styling_rule-daily-fragment-fixed-corner-time-fold,candidates/domain_general/KP-styling_rule-daily-fragment-fixed-corner-time-fold.yaml,domain_general,"daily_fragment 内容里，""同一个角落，不同的我""是一条用**单地点 + 时间褶皱** 反掉""碎片必须多地点多切换""套路的玩法——手机放在同一角度，连续 5-7 天 拍某个固定时刻（回家推门进来的 5 秒 / 店里开灯前的 10 秒 / 晚上脱鞋坐下的 6 秒）。 没有""大事""，但每天动作、穿着、包的摆放、表情、进门速度都不一样。 服装在此自然成为时间变化的证据：同一个人这几天为什么穿",L2,generation,instant,true,1人+手机+200元+4h,low,,同一个角落连续几天拍出人和衣服的时间变化,固定手机角度和固定时刻;每天只拍进门或开灯几秒;用穿着痕迹串起变化,每天换地点快剪导致碎片没有时间褶皱,medium,喜欢日常陪伴感内容的观众,W12.A 人工审表确认
KP-styling_rule-daily-fragment-no-face-traces,candidates/domain_general/KP-styling_rule-daily-fragment-no-face-traces.yaml,domain_general,"daily_fragment 内容里，""不拍脸 / 只拍生活留下的痕迹""是一条强力突破玩法—— 椅背上的外套 / 刚摘下的耳环 / 收银台边的一杯水 / 试衣间地上的纸袋 / 回家后放下的钥匙 / 洗过的衬衫在窗边滴水。观众不会觉得""信息不足""，反而更想靠近， 因为人是通过痕迹出现的。服装天然是最容易留下痕迹的物件——衣架空位 / 刚脱下的针织 / 试穿留下的褶皱都是很强的""服装性痕迹""。本卡打破",L2,generation,instant,true,1人+手机+200元+4h,low,,不露脸只拍生活留下的痕迹让人自然出现,选衣物钥匙水杯等生活痕迹;避开正脸只拍物件状态;用最后一个痕迹暗示人物情绪,为了信息完整强行露脸讲解破坏靠近感,short,喜欢安静生活碎片的人群,W12.A 人工审表确认
KP-styling_rule-daily-fragment-sensory-sort-not-time,candidates/domain_general/KP-styling_rule-daily-fragment-sensory-sort-not-time.yaml,domain_general,"daily_fragment 内容里，""碎片按体感排（不按时间）""是一条把碎片组织从 ""时间顺序""反掉成""感官分类""的玩法——从""今天最软的东西""开始（袖口 / 蒸汽 / 头发 / 傍晚光）， 接""今天最吵的东西""（拉链 / 地铁 / 店门 / 手机震动），最后落到""今天终于安静的那一秒""。 观众接住的是**体感**，而不是行程。布料本来就有触感和声音， 非常适合做体感排序——这是服装行业 dai",L2,generation,instant,true,1人+手机+200元+4h,medium,,把一天按软吵静这些体感排序而不是按时间排序,先拍今天最软的触感;再拍今天最吵的声音;最后落到终于安静的一秒,按早中晚流水账排列导致体感记忆变弱,medium,对触感声音和生活气味敏感的观众,W12.A 人工审表确认
KP-styling_rule-daily-fragment-single-chair-time-fold,candidates/domain_general/KP-styling_rule-daily-fragment-single-chair-time-fold.yaml,domain_general,"daily_fragment 内容里，""同一把椅子四次""是一条用**单地点 + 时段道具替身** 在 4 小时内拍完的""陪伴感""碎片玩法——手机固定拍一把椅子或店里的试衣凳， 早上椅子上是一件外套（出门）；中午是一杯喝到一半的咖啡（撑住）； 傍晚是一只购物袋（松一口气）；夜里是一盏小灯照着空椅子（回到自己）。 每次出现你都只露出手：把东西放下、停两秒、又拿走。 服装在此作为""情绪载体""出现（外套 ",L2,generation,long_term,true,2-3人+轻设备+1000元+1-2天,medium,,同一把椅子四次出现拍出一天的陪伴感,固定椅子机位分四个时段拍摄;每次只放下一件物品停两秒;结尾用空椅子收住情绪,把椅子当普通摆拍道具而没有时段变化,medium,喜欢慢节奏生活叙事的人群,W12.A 人工审表确认
KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,candidates/domain_general/KP-styling_rule-emotion-expression-clothes-as-emotion-vessel.yaml,domain_general,"服装行业的情绪表达内容里，""一件衣服替我说完今天没说出口的话""是旗舰玩法—— 镜头从回家开始，主角一句话不说，只是把外套从肩上慢慢脱下来 / 搭在椅背上 / 过一会儿又拿起来抱在怀里坐着；背景只有电饭煲跳闸声 / 楼下车声 / 微信提示音但不看； 字幕极少，只在最后出现一行：""今天没有崩溃，只是一直没空掉下来。"" 这时那件衣服不是商品也不是穿搭，而是""今天所有没被接住的情绪容器""。 服装是情绪载体",L2,generation,instant,true,1人+手机+200元+4h,medium,,让一件衣服替主角说完今天没说出口的话,从回家沉默动作开始;用脱下抱起挂回衣服承载情绪;最后只留一行克制字幕,用大段口播解释情绪导致衣服失去承载力,medium,被日常情绪和服装记忆打动的人群,W12.A 人工审表确认
