evidence_id,source_md,source_anchor,inference_level_current,strict_substring_hit,phrase_total,phrase_hits,phrase_hit_rate,best_span_excerpt,source_md_span_start,source_md_span_end,line_no,original_section_heading,adjudication_status,inference_level_recommended,recommendation_warning,adjudicator,rationale
EV-KP-fabric_property-linen-natural-creases,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、首批 FabricKnowledge 正式冻结清单 · 2. 亚麻 / 棉麻类,low,false,8,8,1.0,"它的高级感,很大一部分恰恰来自自然折痕和纤维表情. 正式风险提示冻结为:肘部,臀部,坐位,前门襟容易出褶;",2689,2742,75,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-service_judgment-comfort-sensitive-trigger,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、10 类进店目的 · 8. comfort_sensitive,low,false,11,11,1.0,"先确认她介意的是触感,温度,透度,弹性,静电还是内搭难度. 最容易卡住:",1877,1913,139,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-full-look-no-broken-size,Q7Q12-搭配陈列业务包/陈列方法包.md,二、6. full_look_display + 三、2)/3) + 四、联动,low,false,18,18,1.0,"套得太满;主件不清;辅件比主件抢;没有第二套替代;建立在断码货上. 什么叫""看着高级但卖不动"":",2342,2390,154,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-core-category-7-plus-3,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.1,low,false,12,12,1.0," 这套切法的好处是:门店最高频接客,试衣间救场,陈列分区,培训演示都能用;",1068,1105,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-shared-6-decision-dims,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.2,low,false,10,8,0.8,冷启动统一要求:每个母类至少挂 6 个共用核心维度 color,1152,1183,54,,paraphrase_located,low,,auto,phrase 命中率 80% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-synonym-convergence,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3,low,false,15,15,1.0,wide_leg_pants,2567,2581,151,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-no-forced-merge,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3 明确不得强收,low,false,6,6,1.0,≠ 常规偏短(regular_short,2948,2968,164,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-decision-level-hard-vs-high,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.4,low,false,12,12,1.0," 这些一变,整套推荐通常要重算. 高频改搭配结论的属性",3068,3095,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-attribute-driven-display,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.5,low,false,12,12,1.0,"帮助顾客快速理解商品关系,降低选择负担;颜色分组和焦点单品尤其直接影响转化.",3351,3389,196,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-display-only-fields,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.6,low,false,9,9,1.0," 这些主要给 training_generate(培训生成),详情页,销售话术用.",3567,3608,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-product_attribute-collection-cold-start-scope,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.7,low,false,8,8,1.0," 直接升成搭配硬约束. 只有当品牌后续明确""系列成套优先""时,再进入更强约束.",3712,3751,221,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-proportion-split-37,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 01 + 6.2 + 6.4 反转二,low,false,8,8,1.0,":高腰裤 / 高腰裙,短上衣,塞衣角,短外套. fails_in",1069,1101,38,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-silhouette-balance,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 02 + 6.2 + 6.4 反转一,low,false,11,11,1.0,"高个,偏瘦,年轻,街头风,明确追求 oversize 时,可以上宽下宽;但它不适合作为门店安全盘默认推荐.",6677,6730,220,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-waistline-anchor,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 03 + 6.2,low,false,8,8,1.0,"高腰断码时,可用腰带 / 短外套 / 内外层次制造假腰线;不能直接用无腰线替代.",2056,2096,68,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-one-focus,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 04 + 6.2,low,false,6,6,1.0,"一套里只留一个主角:颜色主角,版型主角,材质主角,设计主角,四选一. ",2241,2276,76,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-color-echo,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 05 + 6.2,low,false,14,14,1.0,"呼应会显完整,也更利于做陈列分组.公开零售陈列指南也把颜色分组和焦点组织视为最直接的视觉销售工具. ",2737,2787,91,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-neutral-plus-accent,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 06 + 6.3 + 6.4 反转三,low,false,11,11,1.0,":米白 / 灰 / 驼 / 藏青打底,丝巾 / 鞋 / 包 / 内搭提气. fails_in",3313,3359,108,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-structure-drape,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 07 + 6.3,low,false,10,10,1.0,":挺括西装配垂感裙,毛绒外套配牛仔,真丝衬衫配西裤. fails_in",3743,3778,122,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
