OT-Persona,Persona,domain_object,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
OT-ContentType,ContentType,domain_object,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
OT-PlatformTone,PlatformTone,domain_object,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
OT-PlatformTone,PlatformTone,domain_object,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
OT-PrivateOutletChannel,PrivateOutletChannel,domain_object,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
OT-CustomerScenario,CustomerScenario,domain_object,domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
OT-ContentType,ContentType,domain_object,domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-behind-scenes-store-soundprint
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-behind-scenes-store-soundprint
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
OT-ContentType,ContentType,domain_object,domain_general,KP-styling_rule-ootd-route-fitness-not-display
OT-StylingRule,StylingRule,domain_object,domain_general,KP-styling_rule-ootd-route-fitness-not-display
