source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,runtime_asset_id,pack_id,asset_type,title,summary,content_pointer,asset_payload_json,source_pointer
KP-craft_quality-sewing-stitch-pucker-near-eye,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,a187838f18c116b16e6ba6460727a6be50d4cb7393befc6dbbbd7cabb03ebda8,RA-craft_quality-sewing-stitch-pucker-near-eye,KP-craft_quality-sewing-stitch-pucker-near-eye,role_split,缝口起皱近看分工,把缝口起皱拆给门店与质检分别判断，避免把综合工艺问题说成顾客挑剔。,candidates/domain_general/KP-craft_quality-sewing-stitch-pucker-near-eye.yaml#runtime_asset,{},candidates/domain_general/KP-craft_quality-sewing-stitch-pucker-near-eye.yaml#runtime_asset
KP-craft_quality-store-risk-discipline-evidence-first,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,be4e131b5cba68c740c4776963b1f3aaacf4a365a8530612a1f26b5c5ccaf0cb,RA-craft_quality-store-risk-discipline-evidence-first,KP-craft_quality-store-risk-discipline-evidence-first,role_split,门店风险证据分工,统一门店风险判断的证据优先顺序，让不同岗位按洗标织法场景给出一致口径。,candidates/domain_general/KP-craft_quality-store-risk-discipline-evidence-first.yaml#runtime_asset,{},candidates/domain_general/KP-craft_quality-store-risk-discipline-evidence-first.yaml#runtime_asset
KP-fabric_property-composition-only-no-scenario-bound,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,569efb5b421af72bc247c8ee4d8ec2bc555a5e2e42b8a6885d3d930338f92b36,RA-fabric_property-composition-only-no-scenario-bound,KP-fabric_property-composition-only-no-scenario-bound,action_template,成分情境绑定动作,推荐面料时先询问穿着情境和动作，再解释成分，避免只讲参数造成误判。,candidates/domain_general/KP-fabric_property-composition-only-no-scenario-bound.yaml#runtime_asset,{},candidates/domain_general/KP-fabric_property-composition-only-no-scenario-bound.yaml#runtime_asset
KP-fabric_property-gloss-not-equal-luxe,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,fdbf77546169e4127cbb085984aa83cc08490b01b661d29142579183c13613a4,RA-fabric_property-gloss-not-equal-luxe,KP-fabric_property-gloss-not-equal-luxe,role_split,光泽廉价风险判断,把显贵光泽和显廉价光泽拆成门店推荐前的判断分工，防止亮面材质被误推。,candidates/domain_general/KP-fabric_property-gloss-not-equal-luxe.yaml#runtime_asset,{},candidates/domain_general/KP-fabric_property-gloss-not-equal-luxe.yaml#runtime_asset
KP-product_attribute-clothing-as-emotional-medium-stance,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,2ce7faf3bf714eafefc862349ad1e5d44bbe3a9e1c5851a50e5f416031914fc9,RA-product_attribute-clothing-as-emotional-medium-stance,KP-product_attribute-clothing-as-emotional-medium-stance,role_split,衣服情绪媒介分工,明确内容与门店角色如何把衣服当情绪媒介，而不是只按商品卖点表达。,candidates/domain_general/KP-product_attribute-clothing-as-emotional-medium-stance.yaml#runtime_asset,{},candidates/domain_general/KP-product_attribute-clothing-as-emotional-medium-stance.yaml#runtime_asset
KP-service_judgment-comfort-sensitive-trigger,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,4169e1ea261a5209a6dbbffc9281c3744ef59284db30869b665f4e0b1f4d9e34,RA-service_judgment-comfort-sensitive-trigger,KP-service_judgment-comfort-sensitive-trigger,action_template,体感顾虑识别动作,顾客提出扎热透勒等问题时，先识别真实体感维度，再进入推荐动作。,candidates/domain_general/KP-service_judgment-comfort-sensitive-trigger.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-comfort-sensitive-trigger.yaml#runtime_asset
KP-service_judgment-functional-gap-fill,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,7c42aca7a482a0141fba252a8d005284440fe1f46111a595cc2bfffad86b6a11,RA-service_judgment-functional-gap-fill,KP-service_judgment-functional-gap-fill,dialogue_template,衣柜缺口追问话术,针对缺外套裤子内搭的顾客，先追问已有主色版型和常用场景再推荐。,candidates/domain_general/KP-service_judgment-functional-gap-fill.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-functional-gap-fill.yaml#runtime_asset
KP-service_judgment-ready-made-full-set,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,63969def277dbcbee52f6380feaf9013e71a2bb9d6fd899afd01e45f8b9c6be1,RA-service_judgment-ready-made-full-set,KP-service_judgment-ready-made-full-set,action_template,整套省心判断动作,顾客要求直接配一套时，先判断省心速度或不会搭的动机，再给第二套验证。,candidates/domain_general/KP-service_judgment-ready-made-full-set.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-ready-made-full-set.yaml#runtime_asset
KP-service_judgment-repeat-purchase-replenish,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,c7b1d1a4aed5212775cc43ecafd804616056a05164345340332369c92f580ddf,RA-service_judgment-repeat-purchase-replenish,KP-service_judgment-repeat-purchase-replenish,role_split,老客复购替代分工,老客按旧款复购时，导购和库存角色需围绕同逻辑替代，不能用差不多糊弄。,candidates/domain_general/KP-service_judgment-repeat-purchase-replenish.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-repeat-purchase-replenish.yaml#runtime_asset
KP-service_judgment-shape-correction,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,91a58f46517c99e3c5499407b2c20dc35b521fedba42de0174505a596e6feba3,RA-service_judgment-shape-correction,KP-service_judgment-shape-correction,dialogue_template,身型修饰确认话术,面对胯大肩宽腿粗等诉求，先确认最在意部位和可接受边界再推荐。,candidates/domain_general/KP-service_judgment-shape-correction.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-shape-correction.yaml#runtime_asset
