evidence_id,current_inference_level,recommended_inference_level,tier,strict_quote_match,strict_anchor_match,phrase_hit_rate,change
EV-KP-fabric_property-linen-natural-creases,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-comfort-sensitive-trigger,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-full-look-no-broken-size,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-core-category-7-plus-3,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-shared-6-decision-dims,low,low,T2_paraphrase_authentic,False,True,0.80,no_change
EV-KP-product_attribute-synonym-convergence,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-no-forced-merge,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-decision-level-hard-vs-high,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-display_rule-attribute-driven-display,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-display-only-fields,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-collection-cold-start-scope,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-styling_rule-proportion-split-37,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-silhouette-balance,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-waistline-anchor,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-one-focus,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-color-echo,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-neutral-plus-accent,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-structure-drape,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-premium-item-neutralization,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-face-brightness,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-formality-consistency,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-menswear-belt-shoe,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-single-problem-priority,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-substitution-priority-ladder,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-styling_rule-looks-good-but-unsellable,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-fabric_property-cotton-knit-familiar-trap,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-viscose-modal-tencel-mirror-win,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-silk-acetate-satin-honest-fabric,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-wool-cashmere-care-claim-bound,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-denim-twill-mirror-not-truth,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-chiffon-organza-layering-tool,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-polyester-nylon-functional-no-blanket,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-craft_quality-preshrink-wash-set-after-sale-front,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-craft_quality-sewing-stitch-pucker-near-eye,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-craft_quality-fusing-lamination-silhouette-gate,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-craft_quality-dye-fastness-daily-risk,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-craft_quality-brushing-napping-aging-speed,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-craft_quality-pleat-topstitch-pattern-match-care,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-fabric_property-soft-not-equal-premium,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-fabric_property-heavy-not-equal-quality,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-fabric_property-wrinkle-not-equal-low-grade,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-fabric_property-gloss-not-equal-luxe,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-fabric_property-pure-cotton-not-zero-risk,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-fabric_property-composition-only-no-scenario-bound,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-craft_quality-store-risk-discipline-evidence-first,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-training_unit-microlearning-not-long-course,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-priority-by-impact-frequency-trust,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-standard-action-vs-judgment-skill,low,low,T2_paraphrase_authentic,False,False,0.89,no_change
EV-KP-training_unit-customer-first-look-judgment,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-training_unit-try-on-guidance-one-main-one-backup,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-training_unit-body-shape-objection-structure-points,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-training_unit-fabric-touch-before-spec,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-training_unit-styling-error-top-priority-eight,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-substitution-honest-disclosure,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-on-floor-four-layer-assessment,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-auto-trigger-rules,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-role-binding-frontline-priority,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-color-hesitation-disambiguation,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-display_rule-window-display-purpose,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-mannequin-display-purpose,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-front-hanging-purpose,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-side-hanging-purpose,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-folded-display-purpose,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-display_rule-display-first-then-speak,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-inventory_rescue-can-rescue-scenarios,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-inventory_rescue-no-rescue-scenarios,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-service_judgment-budget-controlled,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-commute-mainstay,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-functional-gap-fill,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-greeting-master-principles,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-service_judgment-must-ask-first,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-service_judgment-new-item-cannot-style,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-ready-made-full-set,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-repeat-purchase-replenish,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-second-third-set-blocker,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-service_judgment-shape-correction,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-urgent-full-look,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-weekend-social,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-greeting-format-lock,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-private-outlet-needs-sales-associate-base,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-founder-profile-brand-unique-layer,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-founder-profile-soft-use-no-rename,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-persona-vs-roleprofile-layering,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-roleprofile-not-speaking-shell,low,low,T2_paraphrase_authentic,False,False,0.88,no_change
EV-KP-product_attribute-persona-six-field-shell,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-persona-field-fill-state,low,low,T2_paraphrase_authentic,False,False,0.88,no_change
EV-KP-product_attribute-compatible-with-edge-properties,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-platform-derivation-not-source,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-frontline-cover-public-and-private,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-service_judgment-derivation-formula-eight-row,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-store-manager-rhythm-first,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-warehouse-supervisor-fact-not-promise,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-designer-locate-defect-source,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-sample-worker-rework-as-judgment,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-merch-director-stylable-not-sellable,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-customer-priority-six-axes,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-display-priority-five-axes,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-hard-block-five-conditions,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-match-result-output-shape,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-shallow-vs-deep-sensing,low,low,T2_paraphrase_authentic,False,False,0.90,no_change
EV-KP-inventory_rescue-soft-substitute-four-paths,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-state-catalog-six-states,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-inventory_rescue-three-sentence-discipline,direct_quote,direct_quote,T1_strict_direct_quote,True,False,1.00,no_change
EV-KP-product_attribute-persona-three-shell-coverage,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-persona-shell-not-equal-role,low,low,T2_paraphrase_authentic,False,False,0.93,no_change
EV-KP-training_unit-persona-anti-pattern-checklist,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-collect-real-action-before-script,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-evidence-shape-four-types,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-collect-failure-not-only-success,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-role-material-five-kinds-minimum,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-cold-start-role-priority-frontline,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-engine-card-vs-play-card-shell,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-play-card-scenario-tag-three-values,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-play-card-tier-three-values,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-storyboard-30s-dual-decoding,low,low,T2_paraphrase_authentic,False,True,1.00,no_change
EV-KP-product_attribute-troop-facing-register-five-fields,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-ai-tone-banned-list-veto,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-engine-vs-play-by-cross-ct-test,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-grounding-over-polish-default,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-shared-layer-registration-not-rewrite,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-enterprise-narrative-six-section-shell,low,low,T2_paraphrase_authentic,False,False,0.75,no_change
EV-KP-training_unit-enterprise-narrative-anti-ai-tone,low,low,T2_paraphrase_authentic,False,False,0.91,no_change
EV-KP-training_unit-enterprise-narrative-object-witness-over-talking-head,low,low,T2_paraphrase_authentic,False,False,0.78,no_change
EV-KP-training_unit-enterprise-narrative-north-star-first,low,low,T2_paraphrase_authentic,False,False,0.86,no_change
EV-clothing-as-emotional-medium-stance,low,low,T3_suspect,False,False,0.19,no_change
EV-content-type-three-tier-maturity,low,low,T3_suspect,False,False,0.19,no_change
EV-concrete-action-over-adjective,low,low,T3_suspect,False,False,0.29,no_change
EV-content-template-saturation-anti-pattern,low,low,T3_suspect,False,False,0.10,no_change
EV-kuleshov-context-driven-emotion-edit,low,low,T3_suspect,False,False,0.00,no_change
EV-objection-clearing-over-selling-points,low,low,T2_paraphrase_authentic,False,False,0.32,no_change
EV-relational-witness-over-monologue,low,low,T2_paraphrase_authentic,False,False,0.86,no_change
EV-silence-as-pattern-interrupt,low,low,T3_suspect,False,False,0.08,no_change
EV-tactile-cue-language-online-compensation,low,low,T3_suspect,False,False,0.12,no_change
EV-KP-product_attribute-content-type-north-star-behind-scenes,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-daily-fragment,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-outfit-of-the-day,low,low,T2_paraphrase_authentic,False,False,0.90,no_change
EV-KP-product_attribute-content-type-north-star-personal-vlog,low,low,T2_paraphrase_authentic,False,False,0.86,no_change
EV-KP-product_attribute-content-type-north-star-role-work-vlog,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-store-daily-three-required-elements,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-emotion-expression-9-ai-tone-banlist,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-emotion-expression-truth-3-questions-prepublish,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-event-documentary-failure-perspective,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-founder-ip,low,low,T2_paraphrase_authentic,False,False,0.93,no_change
EV-KP-product_attribute-content-type-north-star-knowledge-sharing,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-talent-showcase,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-training-material,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-behind-scenes-invisible-completion-cost,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-old-sample-as-error-archive,low,low,T2_paraphrase_authentic,False,False,0.94,no_change
EV-KP-styling_rule-talent-showcase-micro-skill-hundred-reps,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-error-first-then-correct-replay,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-event-documentary-long-term-tier-discipline,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-humor-content-brand-tone-gate-for-puppetry,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-humor-content-clothing-as-persona-switch,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-lifestyle-expression-old-defines-premium,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-lifestyle-expression-values-via-rejection,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-process-trace-stop-the-bad-one-builds-trust,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-sop-asmr-procedural-memory,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-talent-showcase-rescue-not-show-off,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-emotion-expression,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-process-trace,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-product-copy-general,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-product-journey,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-content-type-north-star-product-review,low,low,T2_paraphrase_authentic,False,False,0.92,no_change
EV-KP-product_attribute-pcg-five-voice-archetypes,low,low,T2_paraphrase_authentic,False,False,0.94,no_change
EV-KP-styling_rule-daily-fragment-no-face-traces,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-ootd-clothes-remember-today,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
