source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,pack_id,pack_type,knowledge_title,knowledge_assertion,applicable_when,success_scenario,flip_scenario,alternative_boundary,content_type_tags,object_type_tags,embedding_text
KP-craft_quality-brushing-napping-aging-speed,domain_general,L1,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-brushing-napping-aging-speed""]",full,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,0ac498c052210cdb6138d5f2270f513678baf64c398e9db98260d18d55b2dd72,KP-craft_quality-brushing-napping-aging-speed,craft_quality,craft_quality brushing napping aging speed,"磨毛 / 拉毛 / 起绒 / 防起球是""第一触感与老化速度工艺""——上手讨喜不代表三次穿后还能讨喜， 问题往往不在设计而在表层处理与摩擦位耐受； 凡是卖点写""软 / 糯 / 绒 / 暖 / 亲肤""的单品，必须同步判断背包位、腋下、袖口、内侧 会不会先起毛、起球、发旧。","卫衣 / 大衣 / 围巾 / 针织 / 毛绒类；卖点含""软糯绒暖亲肤""的款","喊""软糯绒暖""的款都经得起三次以上穿着复检；顾客无三次后突然显旧的体感；
短周期款被框定预期不被误认耐穿。","喊""软糯亲肤耐穿"" → 三次后背包位起球 / 袖口发旧 / 内侧起毛 → 退换或差评；
把短周期款卖成""经典常穿"" → 信任受损。","not_applicable_when: 明确做""短季节单品""且预期框定的款；
展示用陈列道具。 | alternative_path: 如果是高频背包党 → 推荐紧捻高密织法或防起球整理款; 如果是短周期款 → 改卖点为""季节亮点""而非""经典常穿""; 如果短期老化已显 → 直接调整推荐顺位","[""store_training"", ""outfit_recommendation""]","[""OT-CraftKnowledge""]","assertion: 磨毛 / 拉毛 / 起绒 / 防起球是""第一触感与老化速度工艺""——上手讨喜不代表三次穿后还能讨喜， 问题往往不在设计而在表层处理与摩擦位耐受； 凡是卖点写""软 / 糯 / 绒 / 暖 / 亲肤""的单品，必须同步判断背包位、腋下、袖口、内侧 会不会先起毛、起球、发旧。
applicable_when: 卫衣 / 大衣 / 围巾 / 针织 / 毛绒类；卖点含""软糯绒暖亲肤""的款
success: 喊""软糯绒暖""的款都经得起三次以上穿着复检；顾客无三次后突然显旧的体感；
短周期款被框定预期不被误认耐穿。
flip: 喊""软糯亲肤耐穿"" → 三次后背包位起球 / 袖口发旧 / 内侧起毛 → 退换或差评；
把短周期款卖成""经典常穿"" → 信任受损。"
KP-craft_quality-dye-fastness-daily-risk,domain_general,L1,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-dye-fastness-daily-risk""]",full,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,02decc92c22158964cf440c59e95af1c903e740daabd59f42fa1f6234fe95d7e,KP-craft_quality-dye-fastness-daily-risk,craft_quality,craft_quality dye fastness daily risk,"染整 / 色牢度是""日常使用风险工艺""——色牢度不只针对深色， 浅深拼接、浅色内搭、包带摩擦、汗液摩擦都要看； 凡是顾客会长期背包 / 贴身穿 / 浅深叠穿的单品，必须把褪色 / 沾色风险前置说明。",浅深拼接 / 深色 / 浅色内搭 / 长期背包 / 汗液场景,"顾客接受首次单洗 / 同色洗的洗护建议，沾色 / 褪色未发生或发生于预期内；
浅深叠穿顾客接受隔层建议无染色事故。","只对深色才提风险 → 浅深拼接款顾客发现拼接处沾色 → 退换或差评；
未提示包带 / 汗液位 → 顾客发现局部褪色认定品质问题；
把白色衬衣染色归因为""顾客洗错了"" → 信任受损。","not_applicable_when: 明确标 ISO 105 各类色牢度 ≥4 级且证据可见的款（仍建议首次单洗）；
纯展示用陈列道具。 | alternative_path: 如果顾客特别在意沾色 → 推荐已水洗退浆款或浅色款本身; 如果浅深叠穿不可避免 → 建议加内搭隔层或选耐摩擦色牢度高的款; 如果店内疑似沾色风险高 → 直接做内部沾色 / 摩擦测试再决定推荐与否","[""outfit_recommendation"", ""store_training""]","[""OT-CraftKnowledge""]","assertion: 染整 / 色牢度是""日常使用风险工艺""——色牢度不只针对深色， 浅深拼接、浅色内搭、包带摩擦、汗液摩擦都要看； 凡是顾客会长期背包 / 贴身穿 / 浅深叠穿的单品，必须把褪色 / 沾色风险前置说明。
applicable_when: 浅深拼接 / 深色 / 浅色内搭 / 长期背包 / 汗液场景
success: 顾客接受首次单洗 / 同色洗的洗护建议，沾色 / 褪色未发生或发生于预期内；
浅深叠穿顾客接受隔层建议无染色事故。
flip: 只对深色才提风险 → 浅深拼接款顾客发现拼接处沾色 → 退换或差评；
未提示包带 / 汗液位 → 顾客发现局部褪色认定品质问题；
把白色衬衣染色归因为""顾客洗错了"" → 信任受损。"
KP-craft_quality-fusing-lamination-silhouette-gate,domain_general,L1,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-fusing-lamination-silhouette-gate""]",full,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,a6fd900d9c1c611c8782466d046a454cf04378136d4eb1c0fb3cda83197c433e,KP-craft_quality-fusing-lamination-silhouette-gate,craft_quality,craft_quality fusing lamination silhouette gate,"粘合衬 / 贴合 / 复合是""轮廓成立工艺""——领口 / 门襟 / 驳头 / 裤头 / 袖山一旦衬用错或贴合不稳， 陈列时还能撑、穿几次就翻边 / 起泡 / 脱层； 凡是要用""挺、立、利落、骨架感""做卖点的单品，必须先过这组判断。","西装 / 衬衫 / 大衣 / 立领 / 驳头 / 修身款；任何""挺立利落骨架""卖点","凡说""挺立利落""的款都经得起穿几次后的复检；顾客无翻边 / 起泡投诉；
售前判断把不合格款拦截在推荐之外。","为成交喊""挺立利落""但衬未到位 → 几次穿着后翻边 / 起泡 / 脱层 → 退换或差评；
把翻边归为""自然变化""糊弄 → 信任受损。","not_applicable_when: 面料本身有支撑感不依赖衬的款（如重磅斜纹）；
明确做软廓型 / 解构款（不喊挺立卖点）。 | alternative_path: 如果衬到位不可确认 → 改卖面料 / 版型 / 设计感; 如果已出现翻边起泡 → 直接换款或换码","[""store_training"", ""display_guidance""]","[""OT-CraftKnowledge""]","assertion: 粘合衬 / 贴合 / 复合是""轮廓成立工艺""——领口 / 门襟 / 驳头 / 裤头 / 袖山一旦衬用错或贴合不稳， 陈列时还能撑、穿几次就翻边 / 起泡 / 脱层； 凡是要用""挺、立、利落、骨架感""做卖点的单品，必须先过这组判断。
applicable_when: 西装 / 衬衫 / 大衣 / 立领 / 驳头 / 修身款；任何""挺立利落骨架""卖点
success: 凡说""挺立利落""的款都经得起穿几次后的复检；顾客无翻边 / 起泡投诉；
售前判断把不合格款拦截在推荐之外。
flip: 为成交喊""挺立利落""但衬未到位 → 几次穿着后翻边 / 起泡 / 脱层 → 退换或差评；
把翻边归为""自然变化""糊弄 → 信任受损。"
KP-craft_quality-pleat-topstitch-pattern-match-care,domain_general,L1,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-pleat-topstitch-pattern-match-care""]",partial,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,716372e9080eaa2db3255bc87a5a8962b14b4acb2929995f50ea9e74ac7425cd,KP-craft_quality-pleat-topstitch-pattern-match-care,craft_quality,craft_quality pleat topstitch pattern match care,"压褶 / 明线 / 对条对格 / 细节收口是""讲究感工艺""——它最直接决定陈列是否高级、近看是否用心； 顾客不一定说术语，但一定会据此把衣服归类成""讲究""还是""将就""； 凡是要卖""做工感、品质感、工艺感""的单品，必须先看百褶稳不稳、线迹直不直、 格纹对不对、滚边净不净。","西装 / 衬衫 / 格纹 / 百褶 / 滚边等讲究款；任何""做工 / 品质 / 工艺感""卖点","喊""讲究""的款经得起近看；陈列层级清晰；
顾客近距离观察后认为""用心""，提升信任。","条格不对 / 明线歪 / 百褶塌 / 滚边粗糙仍喊""讲究"" → 顾客近看后认为""将就"" → 信任受损；
高级陈列位放上四项不过关的款 → 拉低整体品牌质感。","not_applicable_when: 明确做毛边 / 解构 / 故意不对称的设计款（区分于工艺缺陷）；
远观陈列道具款。 | alternative_path: 如果四项有部分不过关 → 改卖面料 / 版型 / 设计语言; 如果陈列高级位需要候补 → 选择四项全过关但款相对普通的替代款; 如果近看不过关被顾客指出 → 坦诚承认而非反驳","[""display_guidance"", ""store_training""]","[""OT-CraftKnowledge""]","assertion: 压褶 / 明线 / 对条对格 / 细节收口是""讲究感工艺""——它最直接决定陈列是否高级、近看是否用心； 顾客不一定说术语，但一定会据此把衣服归类成""讲究""还是""将就""； 凡是要卖""做工感、品质感、工艺感""的单品，必须先看百褶稳不稳、线迹直不直、 格纹对不对、滚边净不净。
applicable_when: 西装 / 衬衫 / 格纹 / 百褶 / 滚边等讲究款；任何""做工 / 品质 / 工艺感""卖点
success: 喊""讲究""的款经得起近看；陈列层级清晰；
顾客近距离观察后认为""用心""，提升信任。
flip: 条格不对 / 明线歪 / 百褶塌 / 滚边粗糙仍喊""讲究"" → 顾客近看后认为""将就"" → 信任受损；
高级陈列位放上四项不过关的款 → 拉低整体品牌质感。"
KP-craft_quality-preshrink-wash-set-after-sale-front,domain_general,L1,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-preshrink-wash-set-after-sale-front""]",partial,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,08da8255dd59a9742ca65455998676760cd9afc5b7446c319852e29e465823e0,KP-craft_quality-preshrink-wash-set-after-sale-front,craft_quality,craft_quality preshrink wash set after sale front,"预缩 / 水洗 / 定型是""售后前置工艺""——它直接决定洗后会不会缩、歪、扭、变短， 决定裤线、裙摆、袖长会不会洗一次就走样； 门店说""耐穿、稳定、好打理""之前必须先确认这三件事是否成立，否则就是空头支票。","棉 / 麻 / 牛仔 / 羊毛 / 粘胶等湿胀显著的面料；任何""洗后稳定""承诺前","凡说""耐穿稳定""必有工艺背书；顾客洗后符合预期，无走样投诉；
未做整理的款诚实告知风险，顾客也愿意买单。","为成交直接说""不会缩 / 不会变"" → 顾客洗一次袖长 / 裙摆 / 裤线明显变化 → 退换或差评；
把""洗护标""问询当问题客户处理 → 售后矛盾被埋。","not_applicable_when: 明确做艺术 / 限时一次性穿着的款；
纯化纤热定型已锁形状的款（重点改为耐久后整理判断）。 | alternative_path: 如果整理信息不可得 → 改用""建议手洗冷水 + 大一码 / 同色洗""代偿; 如果顾客一律机洗 → 推荐有 Sanforized / 全防缩整理且明示的款","[""store_training"", ""content_generation""]","[""OT-CraftKnowledge""]","assertion: 预缩 / 水洗 / 定型是""售后前置工艺""——它直接决定洗后会不会缩、歪、扭、变短， 决定裤线、裙摆、袖长会不会洗一次就走样； 门店说""耐穿、稳定、好打理""之前必须先确认这三件事是否成立，否则就是空头支票。
applicable_when: 棉 / 麻 / 牛仔 / 羊毛 / 粘胶等湿胀显著的面料；任何""洗后稳定""承诺前
success: 凡说""耐穿稳定""必有工艺背书；顾客洗后符合预期，无走样投诉；
未做整理的款诚实告知风险，顾客也愿意买单。
flip: 为成交直接说""不会缩 / 不会变"" → 顾客洗一次袖长 / 裙摆 / 裤线明显变化 → 退换或差评；
把""洗护标""问询当问题客户处理 → 售后矛盾被埋。"
KP-craft_quality-sewing-stitch-pucker-near-eye,domain_general,L3,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-sewing-stitch-pucker-near-eye""]",partial,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,f48f92d134ba4ff4a7c950c1a56c309adaa55e5781342fa7673d76f2b5d11e1b,KP-craft_quality-sewing-stitch-pucker-near-eye,craft_quality,craft_quality sewing stitch pucker near eye,"缝制质量（线迹 / 跳针 / 缝口起皱）是""近看质感工艺""——顾客不一定会说 seam puckering， 但她一定能看出""这件怎么有点抽、歪、鼓、皱""； 门店要把缝口起皱定位为面料结构 + 缝型 + 针线规格 + 送布问题的综合症状， 不是单线问题，更不是顾客挑剔。",衬衫 / 西装 / 西裤 / 礼服等近看质感款；任何顾客或店员对缝口起皱的疑问,"导购能识别并坦诚说出原因，顾客认为店员""懂行""，不视为质量黑点；
明显失败品被识别后调整推荐或下线。","把缝口起皱归为""线没拉好""或反驳""这是设计感"" → 顾客认为是品控差或被糊弄；
把起皱明显的款仍卖""做工讲究"" → 信任度受损。","not_applicable_when: 故意做褶皱 / 风琴褶设计款（区分于工艺缺陷）；
远观陈列道具款。 | alternative_path: 如果起皱来自面料 → 同步说明面料属性，建议顾客接受微皱; 如果起皱来自针线规格不当 → 同款不同批可能差异 / 推荐其他批次; 如果起皱明显且影响穿着 → 直接换款或调换码","[""store_training"", ""display_guidance""]","[""OT-CraftKnowledge""]","assertion: 缝制质量（线迹 / 跳针 / 缝口起皱）是""近看质感工艺""——顾客不一定会说 seam puckering， 但她一定能看出""这件怎么有点抽、歪、鼓、皱""； 门店要把缝口起皱定位为面料结构 + 缝型 + 针线规格 + 送布问题的综合症状， 不是单线问题，更不是顾客挑剔。
applicable_when: 衬衫 / 西装 / 西裤 / 礼服等近看质感款；任何顾客或店员对缝口起皱的疑问
success: 导购能识别并坦诚说出原因，顾客认为店员""懂行""，不视为质量黑点；
明显失败品被识别后调整推荐或下线。
flip: 把缝口起皱归为""线没拉好""或反驳""这是设计感"" → 顾客认为是品控差或被糊弄；
把起皱明显的款仍卖""做工讲究"" → 信任度受损。"
KP-craft_quality-store-risk-discipline-evidence-first,domain_general,L3,active,"[""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-craft_quality-store-risk-discipline-evidence-first""]",full,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,64156f141e88974ea4c8141c206c733452cdc4bfc28a9575c4bdc49566ceffa1,KP-craft_quality-store-risk-discipline-evidence-first,craft_quality,craft_quality store risk discipline evidence first,"门店统一风险口径必须建立在""看证据、不看感觉""上—— 能不能机洗看洗护标 / 会不会缩看预缩水洗定型 / 会不会皱看纤维织法整理 / 会不会透看颜色厚度织法光线 / 会不会起球看摩擦场景 / 会不会勾丝看表面与场景 / 会不会显廉价看面料表情 + 缝制 + 收口 + 光泽控制 / 会不会翻车看顾客穿着习惯与容忍度。",所有门店面料 / 工艺风险口径；任何 8 类风险问题（缩 / 起球 / 褪色沾色 / 透 / 勾丝 / 静电 / 摩擦发亮 / 机洗烘干）,"店员回答风险问题时统一引用""证据维度""，话术稳定一致；
顾客感受到专业可靠，售后纠纷率下降，跨门店口径无冲突。","凭""摸起来稳""""挂着不皱""""不会掉色吧""等感觉回答 → 实际洗后翻车 → 退换或差评；
不同店员回答同一问题口径不同 → 顾客失信。","not_applicable_when: 明确做""短时穿着 / 一次性派对 / 拍摄道具""语境；
非门店现场的销售类型（如直播带货另有口径）。 | alternative_path: 如果没有明确证据 → 改用""建议先单洗 + 大一码 + 同色洗""等代偿话术; 如果顾客坚持要直答 → 给出基于证据的概率描述而非保证; 如果证据相互矛盾 → 优先取洗护标 / 厂方明示 > 店员经验","[""store_training"", ""outfit_recommendation"", ""content_generation""]","[""OT-CraftKnowledge""]","assertion: 门店统一风险口径必须建立在""看证据、不看感觉""上—— 能不能机洗看洗护标 / 会不会缩看预缩水洗定型 / 会不会皱看纤维织法整理 / 会不会透看颜色厚度织法光线 / 会不会起球看摩擦场景 / 会不会勾丝看表面与场景 / 会不会显廉价看面料表情 + 缝制 + 收口 + 光泽控制 / 会不会翻车看顾客穿着习惯与容忍度。
applicable_when: 所有门店面料 / 工艺风险口径；任何 8 类风险问题（缩 / 起球 / 褪色沾色 / 透 / 勾丝 / 静电 / 摩擦发亮 / 机洗烘干）
success: 店员回答风险问题时统一引用""证据维度""，话术稳定一致；
顾客感受到专业可靠，售后纠纷率下降，跨门店口径无冲突。
flip: 凭""摸起来稳""""挂着不皱""""不会掉色吧""等感觉回答 → 实际洗后翻车 → 退换或差评；
不同店员回答同一问题口径不同 → 顾客失信。"
KP-display_rule-attribute-driven-display,domain_general,L1,active,"[""03_semantic.csv"", ""04_value_set.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-display_rule-attribute-driven-display""]",partial,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,e0cccc7d95878c60a8f08c9cde643c8f22a54ff93c057960a07878bcc85a0fdf,KP-display_rule-attribute-driven-display,display_rule,display_rule attribute driven display,陈列分组、焦点位、模特组合的设计必须基于 8 个属性维度：color / Collection / Category / length / fit / season / pattern / occasion；仅靠审美直觉做陈列会让顾客难以理解商品关系， 从而拉低连带购买与转化——陈列的本质是用属性维度帮顾客降低选择负担。,任何陈列单元的分组与焦点设计,"顾客一眼看出商品组的逻辑（""这一片都是同色系"" / ""这是通勤套装"" / ""这是夏季短款""），
自然形成连带浏览路径，焦点单品试穿率提升。","整片陈列只有审美感觉无属性逻辑 → 顾客看完不知道""我能选什么""；
8 维度混用无主次 → 视觉嘈杂，焦点失效；
用展示字段（fabric_story / craft_story）做陈列分组 → 顾客看不到商品关系，只看到讲故事。","not_applicable_when: window_display 以""拦人定调""为主时，可少量牺牲 8 维度严谨性以服务定调，但仍需说明；
纯装置艺术展位（不承担成交目标）不适用。 | alternative_path: 同一空间多维度并存 → 选 1 主维度做骨架，其他维度做次轴; 库存稀薄无法满足任一维度齐组 → 转向焦点单品 + 故事化文案，不强行做陈列组","[""display_guidance""]",[],"assertion: 陈列分组、焦点位、模特组合的设计必须基于 8 个属性维度：color / Collection / Category / length / fit / season / pattern / occasion；仅靠审美直觉做陈列会让顾客难以理解商品关系， 从而拉低连带购买与转化——陈列的本质是用属性维度帮顾客降低选择负担。
applicable_when: 任何陈列单元的分组与焦点设计
success: 顾客一眼看出商品组的逻辑（""这一片都是同色系"" / ""这是通勤套装"" / ""这是夏季短款""），
自然形成连带浏览路径，焦点单品试穿率提升。
flip: 整片陈列只有审美感觉无属性逻辑 → 顾客看完不知道""我能选什么""；
8 维度混用无主次 → 视觉嘈杂，焦点失效；
用展示字段（fabric_story / craft_story）做陈列分组 → 顾客看不到商品关系，只看到讲故事。"
KP-display_rule-display-first-then-speak,domain_general,L1,active,"[""01_object_type.csv"", ""04_value_set.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-display_rule-display-first-then-speak""]",full,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,bed384196778c82906b7a578640d384fc044f0e87e8f8434d28fddca0865f862,KP-display_rule-display-first-then-speak,display_rule,display_rule display first then speak,"适合""先陈列后开口""的接客场景正式冻结为 4 类——ready_made_full_set / new_item_cannot_style / weekend_social / 看中门口模特或成套位再开口的顾客； 这 4 类的共同点是""顾客需要先看到完整画面才能形成购买理由""，导购上来开口反而打断她的视觉判断流。",4 类指定场景；门口/成套位/新款陈列前,顾客完成视觉判断后主动询问；导购话术直接落在她已经认可的视觉点上，转化高,顾客刚停下就被开口打断，视觉判断流断裂，礼貌走开,"not_applicable_when: 必须先问再推的 6 类场景（urgent / shape / comfort / budget / functional / repeat） | alternative_path: 顾客停留超过 90 秒未主动开口 → 用一句""模特那身用的就是这件""切入，不要追问需求; 模特位陈列效果与单品差异大 → 提前说明，避免试穿落差",[],"[""OT-DisplayGuide"", ""OT-CustomerScenario""]","assertion: 适合""先陈列后开口""的接客场景正式冻结为 4 类——ready_made_full_set / new_item_cannot_style / weekend_social / 看中门口模特或成套位再开口的顾客； 这 4 类的共同点是""顾客需要先看到完整画面才能形成购买理由""，导购上来开口反而打断她的视觉判断流。
applicable_when: 4 类指定场景；门口/成套位/新款陈列前
success: 顾客完成视觉判断后主动询问；导购话术直接落在她已经认可的视觉点上，转化高
flip: 顾客刚停下就被开口打断，视觉判断流断裂，礼貌走开"
KP-display_rule-folded-display-purpose,domain_general,L1,active,"[""03_semantic.csv"", ""04_value_set.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-display_rule-folded-display-purpose""]",partial,true,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,c0dd05ca8cdcba9e79c776ea451fcd0b17e42f1a68b36e18b7359fdea77c4bb3,KP-display_rule-folded-display-purpose,display_rule,display_rule folded display purpose,"folded_display（叠装位）的业务目标是""让顾客看见面料、顺手上手、顺手加购""—— 适合 core_push_deep_stock / basic_replenishable / clearance_tail_stock 中可重复基础款； 必须放打开样件让顾客看到展开后的样子；最大反例是""叠太高 / 尺码混叠 / 没打开样件""——像买手店桌面但顾客不敢抽。 新人首批训练重点，最适合俯拍操作台 / Do/Don't / before-after 三种格式。",折叠类基础款（针织 / 卫衣 / T 恤 / 牛仔 / 打底）,顾客敢抽、能展开看面料、顺手加购，叠装位转化率提升,叠太高 / 尺码混叠 / 没有打开样件 / 只求齐不求顾客敢碰 → 像买手店桌面但顾客不敢抽,not_applicable_when: 主推 look（按 mannequin / front_hanging）；选择带（按 side_hanging） | alternative_path: 库存稀薄无法成叠 → 改为正挂位单挂或收回库; 仅 1 个打开样件易脏 → 设置补换样件机制（每 2 小时检查）,[],[],"assertion: folded_display（叠装位）的业务目标是""让顾客看见面料、顺手上手、顺手加购""—— 适合 core_push_deep_stock / basic_replenishable / clearance_tail_stock 中可重复基础款； 必须放打开样件让顾客看到展开后的样子；最大反例是""叠太高 / 尺码混叠 / 没打开样件""——像买手店桌面但顾客不敢抽。 新人首批训练重点，最适合俯拍操作台 / Do/Don't / before-after 三种格式。
applicable_when: 折叠类基础款（针织 / 卫衣 / T 恤 / 牛仔 / 打底）
success: 顾客敢抽、能展开看面料、顺手加购，叠装位转化率提升
flip: 叠太高 / 尺码混叠 / 没有打开样件 / 只求齐不求顾客敢碰 → 像买手店桌面但顾客不敢抽"
