semantic_id,owner_field,definition,examples_json,brand_layer,source_pack_id
SM-KP-fabric_property-linen-natural-creases-natural_creases,risk_alerts,"亚麻 / 棉麻在受压部位出现的自然折痕属于纤维表情而非品质缺陷","[""肘部出褶"",""臀部出褶"",""坐位出褶"",""前门襟出褶""]",domain_general,KP-fabric_property-linen-natural-creases
SM-KP-service_judgment-comfort-sensitive-trigger-comfort_concern,first_judgment,"comfort_sensitive 触发语下导购需要识别的 6 个具体维度的总称","[""触感"",""温度"",""透度"",""弹性"",""静电"",""内搭难度""]",domain_general,KP-service_judgment-comfort-sensitive-trigger
SM-KP-display_rule-full-look-no-broken-size-full_look,display_unit,"full_look_display 是以整套带走为业务目标的陈列单元承诺多数顾客可整套购买的路径","[""模特位+成套挂位组合视图""]",domain_general,KP-display_rule-full-look-no-broken-size
SM-KP-product_attribute-core-category-7-plus-3-core_vs_extended,is_core_category,"7 主母类 is_core_category=true 支撑 4 条业务路径主体 3 扩展母类 false 补全配件维度","[""tops_base"",""shirts_blouses"",""knitwear"",""outerwear"",""bottoms"",""dresses"",""sets""]",domain_general,KP-product_attribute-core-category-7-plus-3
SM-KP-product_attribute-shared-6-decision-dims-shared_core,attribute_name,"共用核心决策维度 跨 Category 必填的 6 个 Attribute","[""color"",""material"",""fit"",""length"",""season"",""occasion""]",domain_general,KP-product_attribute-shared-6-decision-dims
SM-KP-product_attribute-synonym-convergence-canonical,canonical_value,"标准术语 输入侧统一存储的唯一术语 synonyms 仅为兼容搜索保留","[""hoodie"",""off_white""]",domain_general,KP-product_attribute-synonym-convergence
SM-KP-product_attribute-no-forced-merge-anti_merge,canonical_value,"反向边界 看似相像但业务含义不同的属性必须保持独立 canonical_value","[""khaki≠camel"",""silk≠acetate"",""slim_fit≠regular_fit"",""cropped≠regular_short""]",domain_general,KP-product_attribute-no-forced-merge
SM-KP-product_attribute-decision-level-hard-vs-high-decision_level,decision_level,"hard 触发整套推荐重算 high 触发套内辅件调整不重算主件","[""hard"",""high"",""display_only""]",domain_general,KP-product_attribute-decision-level-hard-vs-high
SM-KP-display_rule-attribute-driven-display-axis,display_unit,"陈列骨架轴 用 8 维度中至少 1 个作为主轴决定分组与焦点","[""color"",""Collection"",""Category"",""length"",""fit"",""season"",""pattern"",""occasion""]",domain_general,KP-display_rule-attribute-driven-display
SM-KP-product_attribute-display-only-fields-display_only,decision_level,"display_only 字段保留但不进入搭配陈列主判断 仅供培训生成详情页销售话术","[""fabric_story"",""craft_story"",""designer_note"",""care_instruction"",""selling_points_copy"",""model_reference""]",domain_general,KP-product_attribute-display-only-fields
SM-KP-product_attribute-collection-cold-start-scope-three_roles,collection_name,"Collection 冷启动作用域 theme_grouping display_grouping training_narration","[""theme_grouping"",""display_grouping"",""training_narration""]",domain_general,KP-product_attribute-collection-cold-start-scope
SM-KP-styling_rule-proportion-split-37-three_seven,rule_name,"三七比例法：上下视觉切分优先 3:7 或 4:6，腰线或长度让重心上移",[],domain_general,KP-styling_rule-proportion-split-37
