runtime_asset_id,pack_id,granularity_layer,asset_type,source_md,source_anchor,line_no,title,summary,source_pointer,brand_layer,registered_at
RA-craft_quality-sewing-stitch-pucker-near-eye,KP-craft_quality-sewing-stitch-pucker-near-eye,L3,role_split,,,-1,缝口起皱近看分工,把缝口起皱拆给门店与质检分别判断，避免把综合工艺问题说成顾客挑剔。,candidates/domain_general/KP-craft_quality-sewing-stitch-pucker-near-eye.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-craft_quality-store-risk-discipline-evidence-first,KP-craft_quality-store-risk-discipline-evidence-first,L3,role_split,,,-1,门店风险证据分工,统一门店风险判断的证据优先顺序，让不同岗位按洗标织法场景给出一致口径。,candidates/domain_general/KP-craft_quality-store-risk-discipline-evidence-first.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-fabric_property-composition-only-no-scenario-bound,KP-fabric_property-composition-only-no-scenario-bound,L3,action_template,,,-1,成分情境绑定动作,推荐面料时先询问穿着情境和动作，再解释成分，避免只讲参数造成误判。,candidates/domain_general/KP-fabric_property-composition-only-no-scenario-bound.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-fabric_property-gloss-not-equal-luxe,KP-fabric_property-gloss-not-equal-luxe,L3,role_split,,,-1,光泽廉价风险判断,把显贵光泽和显廉价光泽拆成门店推荐前的判断分工，防止亮面材质被误推。,candidates/domain_general/KP-fabric_property-gloss-not-equal-luxe.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-product_attribute-clothing-as-emotional-medium-stance,KP-product_attribute-clothing-as-emotional-medium-stance,L3,role_split,,,-1,衣服情绪媒介分工,明确内容与门店角色如何把衣服当情绪媒介，而不是只按商品卖点表达。,candidates/domain_general/KP-product_attribute-clothing-as-emotional-medium-stance.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-comfort-sensitive-trigger,KP-service_judgment-comfort-sensitive-trigger,L3,action_template,,,-1,体感顾虑识别动作,顾客提出扎热透勒等问题时，先识别真实体感维度，再进入推荐动作。,candidates/domain_general/KP-service_judgment-comfort-sensitive-trigger.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-functional-gap-fill,KP-service_judgment-functional-gap-fill,L3,dialogue_template,,,-1,衣柜缺口追问话术,针对缺外套裤子内搭的顾客，先追问已有主色版型和常用场景再推荐。,candidates/domain_general/KP-service_judgment-functional-gap-fill.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-ready-made-full-set,KP-service_judgment-ready-made-full-set,L3,action_template,,,-1,整套省心判断动作,顾客要求直接配一套时，先判断省心速度或不会搭的动机，再给第二套验证。,candidates/domain_general/KP-service_judgment-ready-made-full-set.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-repeat-purchase-replenish,KP-service_judgment-repeat-purchase-replenish,L3,role_split,,,-1,老客复购替代分工,老客按旧款复购时，导购和库存角色需围绕同逻辑替代，不能用差不多糊弄。,candidates/domain_general/KP-service_judgment-repeat-purchase-replenish.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-shape-correction,KP-service_judgment-shape-correction,L3,dialogue_template,,,-1,身型修饰确认话术,面对胯大肩宽腿粗等诉求，先确认最在意部位和可接受边界再推荐。,candidates/domain_general/KP-service_judgment-shape-correction.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-service_judgment-urgent-full-look,KP-service_judgment-urgent-full-look,L3,action_template,,,-1,急用全套场景动作,后天有事的全套需求要先问场合对象天气时长，再用第二套解决像不像本人。,candidates/domain_general/KP-service_judgment-urgent-full-look.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
