pack_id,pack_type,brand_layer,gate_1_closed_scenario,gate_2_reverse_infer,gate_3_rule_generalizable,gate_4_production_feasible,final_state,failure_reason
KP-craft_quality-brushing-napping-aging-speed,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-dye-fastness-daily-risk,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-fusing-lamination-silhouette-gate,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-pleat-topstitch-pattern-match-care,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-preshrink-wash-set-after-sale-front,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-sewing-stitch-pucker-near-eye,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-craft_quality-store-risk-discipline-evidence-first,craft_quality,domain_general,pass,pass,pass,pass,active,
KP-display_rule-attribute-driven-display,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-display-first-then-speak,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-folded-display-purpose,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-front-hanging-purpose,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-full-look-no-broken-size,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-mannequin-display-purpose,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-side-hanging-purpose,display_rule,domain_general,pass,pass,pass,pass,active,
KP-display_rule-window-display-purpose,display_rule,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-chiffon-organza-layering-tool,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-composition-only-no-scenario-bound,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-cotton-knit-familiar-trap,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-denim-twill-mirror-not-truth,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-gloss-not-equal-luxe,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-heavy-not-equal-quality,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-linen-natural-creases,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-polyester-nylon-functional-no-blanket,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-pure-cotton-not-zero-risk,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-silk-acetate-satin-honest-fabric,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-soft-not-equal-premium,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-viscose-modal-tencel-mirror-win,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-wool-cashmere-care-claim-bound,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-fabric_property-wrinkle-not-equal-low-grade,fabric_property,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-can-rescue-scenarios,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-customer-priority-six-axes,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-display-priority-five-axes,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-hard-block-five-conditions,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-match-result-output-shape,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-no-rescue-scenarios,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-shallow-vs-deep-sensing,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-soft-substitute-four-paths,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-state-catalog-six-states,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-inventory_rescue-three-sentence-discipline,inventory_rescue,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-clothing-as-emotional-medium-stance,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-collection-cold-start-scope,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-compat-matrix-truth-source-layering,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-compatibility-derived-view-combination-formula,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-compatibility-edge-support-risk-reason-shell,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-compatibility-matrix-two-layer-truth-source,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-compatible-with-edge-properties,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-behind-scenes,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-daily-fragment,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-emotion-expression,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-founder-ip,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-knowledge-sharing,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-outfit-of-the-day,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-personal-vlog,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-process-trace,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-product-copy-general,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-product-journey,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-product-review,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-role-work-vlog,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-talent-showcase,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-north-star-training-material,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-content-type-three-tier-maturity,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-core-category-7-plus-3,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-decision-level-hard-vs-high,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-display-only-fields,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-engine-card-vs-play-card-shell,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-enterprise-narrative-six-section-shell,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-no-forced-merge,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-pcg-five-voice-archetypes,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-persona-field-fill-state,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-persona-shell-not-equal-role,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-persona-six-field-shell,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-persona-three-shell-coverage,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-play-card-scenario-tag-three-values,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-play-card-tier-three-values,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-shared-6-decision-dims,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-storyboard-30s-dual-decoding,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-synonym-convergence,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-product_attribute-troop-facing-register-five-fields,product_attribute,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-budget-controlled,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-comfort-sensitive-trigger,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-commute-mainstay,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-derivation-formula-eight-row,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-derived-view-risk-inherits-from-source-edge,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-frontline-cover-public-and-private,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-functional-gap-fill,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-greeting-master-principles,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-must-ask-first,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-new-item-cannot-style,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-platform-derivation-not-source,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-private-outlet-needs-sales-associate-base,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-product-review-concerns-clearance-on-spot,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-product-review-tactile-court-three-piece-compare,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-ready-made-full-set,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-repeat-purchase-replenish,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-second-third-set-blocker,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-shape-correction,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-store-daily-three-required-elements,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-urgent-full-look,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-weekend-social,service_judgment,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-behind-scenes-invisible-completion-cost,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-behind-scenes-parallel-split-screen,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-behind-scenes-store-soundprint,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-color-echo,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-daily-fragment-fixed-corner-time-fold,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-daily-fragment-no-face-traces,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-daily-fragment-sensory-sort-not-time,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-daily-fragment-single-chair-time-fold,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-face-brightness,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-formality-consistency,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-looks-good-but-unsellable,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-menswear-belt-shoe,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-neutral-plus-accent,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-old-sample-as-error-archive,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-one-focus,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-ootd-clothes-remember-today,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-ootd-micro-suspense-decision-chain,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-ootd-route-fitness-not-display,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-pcg-moment-over-category,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-premium-item-neutralization,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-process-trace-rejected-garment,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-process-trace-single-hard-fake-step,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-product-journey-sample-version-tree,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-product-journey-vs-process-trace-boundary,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-proportion-split-37,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-silhouette-balance,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-single-problem-priority,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-structure-drape,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-substitution-priority-ladder,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-talent-showcase-micro-skill-hundred-reps,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-styling_rule-waistline-anchor,styling_rule,domain_general,pass,pass,pass,pass,active,
KP-training_unit-ai-tone-banned-list-veto,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-auto-trigger-rules,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-behind-scenes-near-disaster-narrative,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-body-shape-objection-structure-points,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-cold-start-role-priority-frontline,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-collect-failure-not-only-success,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-collect-real-action-before-script,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-color-hesitation-disambiguation,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-concrete-action-over-adjective,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-content-template-saturation-anti-pattern,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-customer-first-look-judgment,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-designer-locate-defect-source,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-emotion-expression-9-ai-tone-banlist,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-emotion-expression-truth-3-questions-prepublish,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-engine-vs-play-by-cross-ct-test,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-enterprise-narrative-anti-ai-tone,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-enterprise-narrative-north-star-first,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-enterprise-narrative-object-witness-over-talking-head,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-error-first-then-correct-replay,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-event-documentary-failure-perspective,training_unit,domain_general,pass,pass,pass,pass,active,
