pack_id,brand_layer_dir,suggested_layer,confidence,suggestion_rationale,needs_human_review,reviewer_decision,final_layer,production_tier,default_call_pool,review_notes
KP-craft_quality-brushing-napping-aging-speed,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-craft_quality-dye-fastness-daily-risk,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-craft_quality-fusing-lamination-silhouette-gate,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-craft_quality-pleat-topstitch-pattern-match-care,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-craft_quality-preshrink-wash-set-after-sale-front,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-craft_quality-sewing-stitch-pucker-near-eye,domain_general,L3,medium,"L3 词 ≥2: ['道具', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-craft_quality-store-risk-discipline-evidence-first,domain_general,L3,medium,"L3 词 ≥2: ['道具', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-display_rule-attribute-driven-display,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-display_rule-display-first-then-speak,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-display_rule-folded-display-purpose,domain_general,L1,low,含 L2 词 1（['tier']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-display_rule-front-hanging-purpose,domain_general,L1,low,含 L2 词 1（['tier']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-display_rule-full-look-no-broken-size,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-display_rule-mannequin-display-purpose,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-display_rule-side-hanging-purpose,domain_general,L1,low,含 L2 词 1（['tier']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-display_rule-window-display-purpose,domain_general,L1,low,含 L2 词 1（['tier']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-fabric_property-chiffon-organza-layering-tool,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-composition-only-no-scenario-bound,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-fabric_property-cotton-knit-familiar-trap,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-denim-twill-mirror-not-truth,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-gloss-not-equal-luxe,domain_general,L3,medium,"L3 词 ≥2: ['道具', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-fabric_property-heavy-not-equal-quality,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-linen-natural-creases,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-polyester-nylon-functional-no-blanket,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-pure-cotton-not-zero-risk,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-silk-acetate-satin-honest-fabric,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-soft-not-equal-premium,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-viscose-modal-tencel-mirror-win,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-wool-cashmere-care-claim-bound,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-fabric_property-wrinkle-not-equal-low-grade,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-can-rescue-scenarios,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-customer-priority-six-axes,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-display-priority-five-axes,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-hard-block-five-conditions,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-match-result-output-shape,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-no-rescue-scenarios,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-shallow-vs-deep-sensing,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-soft-substitute-four-paths,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-state-catalog-six-states,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-inventory_rescue-three-sentence-discipline,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-product_attribute-clothing-as-emotional-medium-stance,domain_general,L3,medium,"L3 词 ≥2: ['镜头', '动作', '道具']",false,accept,L3,,,auto-accept (high confidence)
KP-product_attribute-collection-cold-start-scope,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-product_attribute-compat-matrix-truth-source-layering,domain_general,L1,low,含 L2 词 1（['tier']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
