rule_id,rule_type,applicable_when,success_scenario,flip_scenario,alternative_boundary,brand_layer,source_pack_id
RL-KP-fabric_property-linen-natural-creases,fabric_recommendation_disclosure,面料=亚麻或棉麻 且 顾客场景=久坐或长时间通勤,提前说明自然折痕=纤维表情顾客接受后无售后异议,承诺全天不皱导致出褶后顾客认定品质问题或被骗,要求全天平整→转粘胶混纺；介意肘部出褶→推宽松直筒或落肩,domain_general,KP-fabric_property-linen-natural-creases
RL-KP-service_judgment-comfort-sensitive-trigger,customer_concern_disambiguation,顾客触发语包含 扎/热/透/勒/掉 中任意之一,识别具体维度并定向回应建立信任后续推荐被认真试穿,直接答不会导致信任流失整段接客陷入再看看,已明确表达单一维度→跳过反问；纯线上→走预置 FAQ,domain_general,KP-service_judgment-comfort-sensitive-trigger
RL-KP-display_rule-full-look-no-broken-size,display_inventory_gating,陈列单元=full_look_display 或 mannequin_display 整套目标,三件齐全可现场带走整套带走率提升,少一件就散顾客从我要这套变成那算了,辅件断码→拆为正挂位主推；全场成套不足→单模特+正挂位组合,domain_general,KP-display_rule-full-look-no-broken-size
RL-KP-product_attribute-core-category-7-plus-3,category_taxonomy_freeze,冷启动阶段且首批 Category 体系建设,10 个母类对齐接客/救场/陈列/培训四条业务路径,母类太多→库存稀薄；母类太少→接客颗粒过粗,未覆盖品类→进 skeleton_gap_register；子类需求→走 Attribute,domain_general,KP-product_attribute-core-category-7-plus-3
RL-KP-product_attribute-shared-6-decision-dims,attribute_dimension_enforcement,Category 建设或维护时,6 共用维度齐全跨模块查询不卡词,某 Category 漏挂共用维度→推荐与陈列在该 Category 失效,无法挂→进 skeleton_gap_register；新维度→走字典升级,domain_general,KP-product_attribute-shared-6-decision-dims
RL-KP-product_attribute-synonym-convergence,synonym_normalization,12 组明确归并清单内的同义术语,搜索/推荐/培训三处指向同一标准术语,多名并存导致跨模块分裂,新同义词→走字典升级；不得强收 4 组例外见 RL-no-forced-merge,domain_general,KP-product_attribute-synonym-convergence
RL-KP-product_attribute-no-forced-merge,synonym_anti_merge,4 组明确不得强收清单内的术语合并提案,推荐/话术/售后三处保持术语精度,强收→颜色/面料/版型/长度推荐错位+售后纠纷,前端可模糊提示但后端不合并,domain_general,KP-product_attribute-no-forced-merge
RL-KP-product_attribute-decision-level-hard-vs-high,attribute_decision_level_classification,Attribute 字典 decision_level 取值时,硬改触发整套重算高频改触发套内调整,决策级别错标→推荐重算时机错位,新候选→走字典升级；Category 差异→维度细化不破档,domain_general,KP-product_attribute-decision-level-hard-vs-high
RL-KP-display_rule-attribute-driven-display,attribute_driven_display_grouping,任意陈列单元布展或调整时,顾客一眼看出组的属性逻辑形成连带浏览,无属性轴→视觉嘈杂焦点失效；用展示字段分组→只看故事不看关系,多维度并存→选 1 主轴；库存稀薄→转焦点+故事化,domain_general,KP-display_rule-attribute-driven-display
RL-KP-product_attribute-display-only-fields,display_only_field_isolation,搭配推荐或陈列分组时遇到 6 个展示字段,决策字段与展示字段分层各司其职,用 fabric_story 做陈列分组→变内容秀；selling_points_copy 进推荐→同商品被算成不同结果,培训→supports_training 调取；详情页→content_generation 调取,domain_general,KP-product_attribute-display-only-fields
RL-KP-product_attribute-collection-cold-start-scope,collection_scope_freeze,冷启动阶段创建/消费 Collection 时,推荐保持灵活陈列与培训利用系列叙事不绑架搭配,硬约束→跨系列搭配被压制；过弱→浪费系列策划,个别系列硬约束→单独 collection_priority=hard；推荐场景→走 mapped_to_runtime,domain_general,KP-product_attribute-collection-cold-start-scope
RL-KP-styling_rule-proportion-split-37,hard_rule,通勤客/大众客群/显高显利落需求,3:7 或 4:6 视觉切分成立腿线连续显高,5:5 等分切割+卡胯+裙长停最粗处+鞋口叠刀显矮显钝,低腰复古/Y2K 风格反转放行；高腰下装断码优先换同长度高腰不能用低腰等效替代,domain_general,KP-styling_rule-proportion-split-37
