evidence_id,source_md,source_anchor,evidence_quote,source_type,inference_level,brand_layer,source_pack_id
EV-KP-fabric_property-linen-natural-creases,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、首批 FabricKnowledge 正式冻结清单 · 2. 亚麻 / 棉麻类,它的高级感很大一部分恰恰来自自然折痕和纤维表情。正式风险提示冻结为：肘部、臀部、坐位、前门襟容易出褶；版型越直、越薄、越浅色越要把透感和皱感提前说清。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-linen-natural-creases
EV-KP-service_judgment-comfort-sensitive-trigger,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、10 类进店目的 · 8. comfort_sensitive,店员第一反应：先确认她介意的是触感、温度、透度、弹性、静电还是内搭难度。最容易卡住：不是卡第二套是卡信任。体感没讲透后面推几套都白搭。,explicit_business_decision,direct_quote,domain_general,KP-service_judgment-comfort-sensitive-trigger
EV-KP-display_rule-full-look-no-broken-size,Q7Q12-搭配陈列业务包/陈列方法包.md,二、6. full_look_display + 三、2)/3) + 四、联动,不适合库存状态：broken_size_partial / clearance_tail_stock / 主件或关键辅件断码的伪成套状态。少一件就散顾客带不走。window_display、mannequin_display、full_look_display 必须过库存校验不得用断码伪成套。,explicit_business_decision,direct_quote,domain_general,KP-display_rule-full-look-no-broken-size
EV-KP-product_attribute-core-category-7-plus-3,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.1,首批正式冻结为 7 个主母类 + 3 个扩展母类。门店最高频接客、试衣间救场、陈列分区、培训演示都能用同时不会一上来把库做得又散又重。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-core-category-7-plus-3
EV-KP-product_attribute-shared-6-decision-dims,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.2,冷启动统一要求每个母类至少挂 6 个共用核心维度 color/material/fit/length/season/occasion 这是本轮硬冻结口径。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-shared-6-decision-dims
EV-KP-product_attribute-synonym-convergence,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3,品类叫法统一/属性叫法统一各组散乱叫法收敛为标准术语。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-synonym-convergence
EV-KP-product_attribute-no-forced-merge,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3 明确不得强收,卡其≠驼色 真丝≠醋酸 修身≠合体 短款≠常规偏短,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-no-forced-merge
EV-KP-product_attribute-decision-level-hard-vs-high,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.4,硬改搭配结论的属性 fit/length/material/color/occasion/season 这些一变整套推荐通常要重算。高频改 neckline/sleeve_length/waistline/rise/pattern/layer_role。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-decision-level-hard-vs-high
EV-KP-display_rule-attribute-driven-display,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.5,最直接影响陈列的是 color/Collection/Category/length/fit/season/pattern/occasion。视觉陈列的核心就是用分组、颜色、焦点位、人体模特/人台组合帮助顾客快速理解商品关系、降低选择负担。,explicit_business_decision,direct_quote,domain_general,KP-display_rule-attribute-driven-display
EV-KP-product_attribute-display-only-fields,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.6,以下字段保留但首轮不进入即时搭配/陈列主判断 fabric_story/craft_story/designer_note/care_instruction/selling_points_copy/model_reference 主要给培训生成、详情页、销售话术用。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-display-only-fields
