CM-schema_validation-KP-product_attribute-compat-matrix-truth-source-layering,schema_validation,ProposedRelationEdge,EdgeAdmissionDecision,"{""governed_by"": [""RL-KP-product_attribute-compat-matrix-truth-source-layering""]}",domain_general,KP-product_attribute-compat-matrix-truth-source-layering
CM-platform_adaptation-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,platform_adaptation,"[""Persona"", ""ContentType""]","[""PlatformTone"", ""PrivateOutletChannel""]","{""governed_by"": [""RL-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel""]}",domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
CM-platform_adaptation-KP-service_judgment-derived-view-risk-inherits-from-source-edge,platform_adaptation,"[""Persona"", ""ContentType"", ""PlatformTone"", ""PrivateOutletChannel""]","[""CallMapping""]","{""governed_by"": [""RL-KP-service_judgment-derived-view-risk-inherits-from-source-edge""]}",domain_general,KP-service_judgment-derived-view-risk-inherits-from-source-edge
CM-customer_service-KP-service_judgment-product-review-concerns-clearance-on-spot,customer_service,CustomerConcerns+ProductSKU,OnSpotTestScript,"{""governed_by"": [""RL-KP-service_judgment-product-review-concerns-clearance-on-spot""]}",domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
CM-content_generation-KP-styling_rule-behind-scenes-parallel-split-screen,content_generation,ContentType+SyncContrastMomentCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-behind-scenes-parallel-split-screen""]}",domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
CM-content_generation-KP-styling_rule-behind-scenes-store-soundprint,content_generation,ContentType+StoreSoundCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-behind-scenes-store-soundprint""]}",domain_general,KP-styling_rule-behind-scenes-store-soundprint
CM-content_generation-KP-styling_rule-daily-fragment-fixed-corner-time-fold,content_generation,ContentType+FixedMomentCatalog,LongTermPlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-daily-fragment-fixed-corner-time-fold""]}",domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
CM-content_generation-KP-styling_rule-daily-fragment-sensory-sort-not-time,content_generation,ContentType+SensoryClassCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-daily-fragment-sensory-sort-not-time""]}",domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
CM-content_generation-KP-styling_rule-daily-fragment-single-chair-time-fold,content_generation,ContentType+TimeSegmentPropCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-daily-fragment-single-chair-time-fold""]}",domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
CM-content_generation-KP-styling_rule-ootd-micro-suspense-decision-chain,content_generation,ContentType+ProblemSolutionChainCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-ootd-micro-suspense-decision-chain""]}",domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
CM-content_generation-KP-styling_rule-ootd-route-fitness-not-display,content_generation,ContentType+RouteAndFunctionPointCatalog,PlayCardScript,"{""governed_by"": [""RL-KP-styling_rule-ootd-route-fitness-not-display""]}",domain_general,KP-styling_rule-ootd-route-fitness-not-display
CM-content_generation-KP-training_unit-behind-scenes-near-disaster-narrative,content_generation,ContentType=behind_the_scenes+NearDisasterIncident,NarrativeArcStructure,"{""governed_by"": [""RL-KP-training_unit-behind-scenes-near-disaster-narrative""]}",domain_general,KP-training_unit-behind-scenes-near-disaster-narrative
CM-content_generation-KP-training_unit-ootd-anti-hard-ad-discipline,content_generation,ContentType=outfit_of_the_day,AntiHardAdGate,"{""governed_by"": [""RL-KP-training_unit-ootd-anti-hard-ad-discipline""]}",domain_general,KP-training_unit-ootd-anti-hard-ad-discipline
