RL-KP-product_attribute-engine-card-vs-play-card-shell,card_shell_layer_enforcement,新增内容技法或升级候选引擎时,引擎卡被多张玩法卡按编号引用字段稳定下游可两步解码,壳互塞导致跨 CT 复述漂移或共享层被单 CT 内容污染,尚未卡片化的跨 CT 技法走候选引擎登记；双引擎融合仍是玩法卡壳,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
RL-KP-product_attribute-play-card-scenario-tag-three-values,play_card_scenario_tag_classification,玩法卡落盘或按业务任务筛选时,引流任务命中拉新玩法接客任务命中留存玩法员工型全标 customer_service,不分 scenario 混池 → 引流推接客玩法或接客推引流玩法,兼容玩法标 both；新增取值走共享层升级流程不许单 CT 发明,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
RL-KP-product_attribute-play-card-tier-three-values,play_card_tier_classification,玩法卡落盘或 Prompt 调用池筛选时,默认池仅 instant+long_term；brand_tier 仅在品牌模式调用,三档混池 → 中小创作者拍不出 / 品牌方方案过小气,一个创意两版本 → 拆两张卡；多维度突破 → 优先 brand_tier,domain_general,KP-product_attribute-play-card-tier-three-values
RL-KP-product_attribute-storyboard-30s-dual-decoding,storyboard_field_dual_decoding,AI 读写玩法卡 30 秒分镜参考字段时,按 output_format 自动选解析器跨 CT 字段名稳定,为文案型建新字段或文案按视频分镜读 → schema 漂移或荒谬产物,C1 占位符不分叉；新增第三种 mode 走共享层升级,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
RL-KP-product_attribute-troop-facing-register-five-fields,troop_facing_register_decoding,ContentType.audience_register = troop_facing 时 5 字段解码,5 字段读为对内训练语义新增内部 CT 直接套用,不分受众默认消费者向 → 培训 SOP 被读成消费者钩子员工拿到的内容用不上,混合受众拆两 CT；新增第三种受众走共享层升级,domain_general,KP-product_attribute-troop-facing-register-five-fields
RL-KP-training_unit-ai-tone-banned-list-veto,ai_tone_banned_list_veto,任意 CT 在 AI 生成草稿落盘前,命中即拒所有 CT 共用同一份黑名单 AI slop 早闸拦截,清单单 CT 复制漂移 / 命中后被后处理修补上线 → 跨 CT 出现同款 AI 句式信任崩塌,豁免走共享层提案；新句式补入共享层清单不在单 CT 私自禁用,domain_general,KP-training_unit-ai-tone-banned-list-veto
RL-KP-training_unit-body-shape-objection-structure-points,body_shape_objection_response,顾客抛出身型类顾虑（显胖/显矮/显胯/显腿短/显脖短等）,导购指出至少 2 个具体结构点的作用并请顾客在镜前确认，顾客认同建立专业感,只会空喊显瘦显高，顾客觉得是套路，本款及后续推荐均被否,实质是面料/颜色伪装→走对应路径；本款确实不利→诚实转向,domain_general,KP-training_unit-body-shape-objection-structure-points
RL-KP-training_unit-engine-vs-play-by-cross-ct-test,engine_vs_play_cross_ct_test,新增技法或候选引擎升级裁决,共享层装真·跨 CT 引擎玩法库装 CT 独有玩法层级清晰,独有玩法升共享层 → 共享层污染矩阵覆盖率虚高；或跨 CT 引擎留 CT 内 → 重复发明版本漂移,理论可跨但仅 1 CT 应用 → 进 §I 候选；原理段需重写 → 拆两条,domain_general,KP-training_unit-engine-vs-play-by-cross-ct-test
RL-KP-training_unit-grounding-over-polish-default,grounding_over_polish_default_routing,AI 主导生成内容时的玩法选择与元素组合,输出贴近真实质感，观众感到人创作非 AI 套模板,默认推 C1 → 一眼 AI 味进入 56% AI slop 嫌弃池信任崩塌,用户显式选 polished 时走 brand_tier 分级；趋势变化走共享层升级,domain_general,KP-training_unit-grounding-over-polish-default
RL-KP-training_unit-shared-layer-registration-not-rewrite,shared_layer_registration_only,共享层升级动作（新增引擎 / 扩大回写 / 候选升级）,共享层只追加登记单 CT byte-identical 跨升级溯源清晰,顺手优化玩法卡正文 → 跨多版本后玩法卡内容漂移与外部引用对不上版本回滚成本极高,正文确需修 → 拆两步分两个版本号；不允许同一次提交完成,domain_general,KP-training_unit-shared-layer-registration-not-rewrite
