source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,play_card_id,pack_id,content_type,hook,production_tier,production_difficulty,duration,steps_json,anti_pattern,applicable_when,success_scenario,alternative_boundary,completeness_status
KP-service_judgment-product-review-concerns-clearance-on-spot,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-service_judgment-product-review-concerns-clearance-on-spot""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,9a54c620f76bb2a42e78f3dede0be88cafee39ec7123e06675c4e503112c28f8,PC-service_judgment-product-review-concerns-clearance-on-spot,KP-service_judgment-product-review-concerns-clearance-on-spot,product,把顾客当场说出的顾虑变成三十秒可见测试,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只说不透不勒不显胯却不给任何现场证据,实体门店接客 / 顾客已表达具体顾虑 / 1-2 人即可（店员+可选拍摄者）/ 单次 5-30 分钟,"顾客""这件白衬衫会不会透"" → 店员带到窗边逆光让顾客自己抬手看 → 字幕""逆光 ✕ 没透"" →
顾客""那这条裤子显胯吗"" → 侧身镜前站 2 秒 → 字幕""侧身 ✕ 不显"" →
留一句""如果你和我怕的一样，它可以进试衣间"" → 顾客接住""被安慰""，转化阻力降低","not_applicable_when: 顾客没有表达顾虑只是在浏览 → 走 store_daily 接客欢迎流程 / 顾客顾虑超出测试能力（如""会不会缩水""）→ 走 product_review C2-3 面料侦探（成分+工艺）/ 引流内容（无真实顾客）→ 走 C3-2 创作者自述顾虑版本 | alternative_path: 引流场景版本：创作者自述""我本来怕 X"" + 创作者自己做测试 → 同套测试动作但触发主体不同; 顾虑超过 3 个时 → 改 C3-3 触感法庭（同类三件对照），把""怕 X""测试升级为""对比证据""",complete
KP-service_judgment-product-review-tactile-court-three-piece-compare,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-service_judgment-product-review-tactile-court-three-piece-compare""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,856138980efce254dd310dec3d4253025d6de813e8d491dde21038b01464c555,PC-service_judgment-product-review-tactile-court-three-piece-compare,KP-service_judgment-product-review-tactile-court-three-piece-compare,product,用三件同类衣服的声音和触感做一场法庭裁决,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",导购一直口播面料好坏而没有同框对照证据,实体门店接客 / 顾客在 2-3 件同品类间犹豫 / 桌面+手机俯拍 / 可选领夹麦 ≤ 200 元 / 单次 5 分钟,"0-10 三件白 T 并排+逐件揉搓+字幕""回弹/垂坠/发硬"" → 10-18 三件依次领口拉伸+小计时器停 2 秒 →
18-25 贴麦摩擦声差异明显 → 25-30 镜头停在第 2 件+字幕""如果你讨厌起球，今天只选 2 号""
→ 顾客自己听到/看到差异 → 转化成立",not_applicable_when: 顾客只在试一件没有对照需求 → C3-2 单件顾虑解除 / 三件不同品类无对照前提 → 改 store_daily 商品介绍 / 顾客就要立即买不愿等 30 秒测试 → 直接走 store_daily 高效接客流程 | alternative_path: 引流场景版本：创作者自己摆三件对照 + 三段测试 + 字幕证物标签 → 同型玩法但触发主体不同; 触感差异不明显的品类（如纯色 T）→ 改 C2-3 面料侦探（成分+洗标+揉搓）,complete
KP-styling_rule-behind-scenes-invisible-completion-cost,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-behind-scenes-invisible-completion-cost""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,cb3cbf3bbf6d2c39771550310914a9d7db20bf74f83b1be30f8618efef787495,PC-styling_rule-behind-scenes-invisible-completion-cost,KP-styling_rule-behind-scenes-invisible-completion-cost,behind,让观众看见漂亮成片背后那些没人拍的完成成本,instant,low,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",把幕后拍成精修花絮只展示漂亮和热闹,任意时刻的品牌日常经营劳动（拍摄收尾 / 上新前夜 / 补货 / 试衣间清洁 / 装袋装箱）/ 1 人手机顺手拍 / 预算 0,"30 秒分镜：蒸汽熨斗 → 蹲地捡胶带和线头 → 擦试衣间镜子 → 搬样衣箱（背影）→ 收尾""今天拍完了""
→ 观众接住""完成成本""，对品牌产生尊重而不是猎奇","not_applicable_when: 后台是事件一部分（开业 / 大促 / 发布会）→ 归 event_documentary / 完整成品诞生过程 → 归 product_journey | alternative_path: 也可与 C2-3 ""幕后人群像""配合——本卡是""以劳动为主线""，群像是""以岗位为主线""; 也可与 C3-3 ""边角料主视角""配合——本卡聚焦人的劳动，边角料聚焦物件视角",complete
KP-styling_rule-behind-scenes-parallel-split-screen,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-behind-scenes-parallel-split-screen""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,1de527b6e5a5f2444928baa6233daa1164c710e6d102e675e2ac5e1e24accb2a,PC-styling_rule-behind-scenes-parallel-split-screen,KP-styling_rule-behind-scenes-parallel-split-screen,behind,同一秒左右分屏揭开成片内外两个世界,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",前后流水账复盘花絮导致同步反差消失,服装拍摄 / 上新 / 门店内容 / 1-2 人配合 / 剪映双屏 / 预算 0-30 元 / 4 小时内,"0-5 秒模特转身 vs 蹲地拉裙摆 → 5-12 秒补光柔美 vs 有人举手机当补光 →
12-18 秒顾客笑 vs 店员接快掉的展示牌 → 25-30 秒定格""左边体面/右边笨拙""
→ 调用共享引擎 #2 认知反转 → 进 C3 突破档","not_applicable_when: 后台是事件一部分（开业 / 大促）→ event_documentary C3-3 错位展示 / 没有真实""画面外救火""素材时强行分屏 → 沦为表演 | alternative_path: 与 C2-1 ""今天差点出什么事""配合：本卡走""同步反差""，C2-1 走""问题→解决""叙事弧; 与 event_documentary C3-3 ""错位展示""形成互补：服装行业可两个都做，但单条只选一种语法",complete
KP-styling_rule-behind-scenes-store-soundprint,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-behind-scenes-store-soundprint""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,2a710492d02879d928d836a25b7d02bd15f29d20ad854f2763206e1832083692,PC-styling_rule-behind-scenes-store-soundprint,KP-styling_rule-behind-scenes-store-soundprint,behind,用十个门店近距声音做出品牌空间声纹,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只拍店里热闹画面却忽略可识别的声音细节,实体门店 / 1 人手机 + 可选领夹麦 ≤ 200 元 / 4 小时内剪辑 / 单次拍摄合规,"0-3 卷帘门""哗啦"" → 3-6 门铃""叮"" → 6-9 衣架碰撞 → 9-12 扫码""滴"" → 12-15 剪吊牌""咔嚓"" →
15-18 熨烫蒸汽""嘶"" → 18-21 纸袋摩擦 → 21-24 试衣间门 → 24-27 拉链 → 27-30 关灯""啪""
→ 接住""真实空间的存在感"" → 调用共享引擎 #11 ASMR 感官沉浸 → C3 突破档","not_applicable_when: 没有实体门店（声音不真实）/ 想做""工作动作 ASMR""→ role_work_vlog C3-3 / 想做""面料触感 ASMR""→ process_trace C3-6 或 product_review C3-3 触感法庭 | alternative_path: 与 C3-5 ""补货日治愈系 ASMR""配合：本卡是""声音切片""，C3-5 是""延时+ASMR""双引擎融合（候选引擎; 服装行业可基于本卡积累""店内声音库""，跨内容复用为标配 BGM 替代品",complete
KP-styling_rule-daily-fragment-fixed-corner-time-fold,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-daily-fragment-fixed-corner-time-fold""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,edffa576af0564470e625b14d1c4980a1ed1285fedbea55185fab46caccc6a68,PC-styling_rule-daily-fragment-fixed-corner-time-fold,KP-styling_rule-daily-fragment-fixed-corner-time-fold,daily,同一个角落连续几天拍出人和衣服的时间变化,instant,low,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",每天换地点快剪导致碎片没有时间褶皱,1 人 1 手机 / 5-7 天连续 / 每次拍 1 分钟 / 预算 0 / long_term 玩法分级,"0-5 周一你推门匆忙 → 5-10 周三你推门慢一些外套湿了 → 10-18 周四/五/六/日各不同 →
18-30 最后一天定格 2 秒 + 字幕""同一扇门，7 个我"" → 服装作为时间变化证据被自然接住","not_applicable_when: 单条 4 小时硬约束下无法等 5-7 天 → 用 C3-2 不拍脸痕迹版（同样不出镜但单日完成）/ 想加旁白解释 → 改 personal_vlog | alternative_path: 与 C3-5 ""同一椅子四次""配合：本卡是跨日重复同时刻，C3-5 是单日切换四时段——形成时间维度的两种语法; 长期连载化 → 升级为 daily_fragment 的""时间档案""账号定位",complete
KP-styling_rule-daily-fragment-no-face-traces,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-daily-fragment-no-face-traces""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,12cdd1ef377e6ec2da7469f88735ec0ba5d19f864cdbd2fdc469a2df05a6a363,PC-styling_rule-daily-fragment-no-face-traces,KP-styling_rule-daily-fragment-no-face-traces,daily,不露脸只拍生活留下的痕迹让人自然出现,instant,low,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",为了信息完整强行露脸讲解破坏靠近感,1 人 1 手机 / 4 小时内 / 想做更私密的内容 / 想用服装做情绪载体,"椅背外套 → 桌角耳环 → 柜台半杯水 → 试衣间纸袋 → 门口钥匙 → 窗边滴水衬衫
→ 观众产生比""自拍碎片""更私密更可信的存在感 / 服装作为情绪痕迹被自然接住","not_applicable_when: 需要清晰说明性内容（教程 / 信息）→ 走 knowledge_sharing / 需要露脸建立人格 → 走 personal_vlog | alternative_path: 与 C3-3 ""碎片按体感排""配合——本卡按""物件类型""组，体感卡按""软/吵/静""组; 与 C3-4 ""六声一日""配合——本卡走视觉痕迹，六声走声音痕迹",complete
KP-styling_rule-daily-fragment-sensory-sort-not-time,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-daily-fragment-sensory-sort-not-time""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,50e0ccbad3be3102f265ff90515ab86bd1c25606d5c6a4fe742c9a39fe30a78e,PC-styling_rule-daily-fragment-sensory-sort-not-time,KP-styling_rule-daily-fragment-sensory-sort-not-time,daily,把一天按软吵静这些体感排序而不是按时间排序,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",按早中晚流水账排列导致体感记忆变弱,1 人 1 手机 / 单日 4 小时 / 主要考验剪辑思路 / 预算 0,"0-8 字幕""今天最软""+袖口→蒸汽→头发→傍晚光 → 8-18 字幕""今天最吵""+拉链→地铁→店门→手机震动 →
18-25 字幕""今天最安静""+你放下手机坐下 → 25-30 定格 3 秒空镜 → 观众接住的是体感不是行程","not_applicable_when: 想用时间组织碎片 → C3-1 / C3-5 / 想用声音单维度 → C3-4 六声一日 / 想加事件解释 → personal_vlog | alternative_path: 与 C3-4 ""六声一日""配合：本卡""软/吵/静""含听觉但非全声音，C3-4 全声音；可两个都做但单条只选一个线索; 与 OOTD C3-5 ""城市声学穿搭""互补：本卡是 daily_fragment 感官分类，OOTD C3-5 是用城市声音决定穿什么",complete
KP-styling_rule-daily-fragment-single-chair-time-fold,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-daily-fragment-single-chair-time-fold""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,ae48a50cc9d93d0b134a10d4571cdcc806f4d7a0464e4dd2e920c490c68c2b23,PC-styling_rule-daily-fragment-single-chair-time-fold,KP-styling_rule-daily-fragment-single-chair-time-fold,daily,同一把椅子四次出现拍出一天的陪伴感,long_term,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",把椅子当普通摆拍道具而没有时段变化,1 人 1 手机 / 4 小时内完成 / 单日就能拍完 / 预算 0 / 剪辑极省,"0-7 清晨椅子+外套+字幕""出门"" → 7-15 中午半杯咖啡+字幕""撑住"" →
15-23 傍晚购物袋+字幕""松一口气"" → 23-30 夜里小灯照空椅+字幕""回到自己""
→ 观众脑补完""你的一天"" → 服装作为情绪载体被自然接住","not_applicable_when: 想跨日捕捉变化 → C3-1 同一角落 5-7 天 / 想出镜建人格 → personal_vlog / 想拍商品 → OOTD 或 product_review | alternative_path: 与 C3-1 跨日重复版形成""单日 vs 跨日""二维分工; 与 C3-2 不拍脸痕迹版互补：本卡走""时段道具替身""，C3-2 走""物件痕迹近景""",complete
KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-emotion-expression-clothes-as-emotion-vessel""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,cc3f2c14376a7a2f386baaa5531cf06602f6c7a3314cdfed9dbc2865971a8d4e,PC-styling_rule-emotion-expression-clothes-as-emotion-vessel,KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,emotion,让一件衣服替主角说完今天没说出口的话,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",用大段口播解释情绪导致衣服失去承载力,"1 人 1 手机 / 家里一把椅子 / 下班到家后的前 15 分钟（真实归家窗口）/ 针织 / 外套 / 衬衫 / 帽衫等""陪伴感""品类","光线 / 门锁声 / 电饭煲跳闸 / 微信提示音都是真实的；动作慢于平时；服装在画面中作为
情绪容器（被脱下 / 被抱住 / 被搭起）；观众接住""没有大事但整个人一直悬着""的现代情绪","not_applicable_when: 接客场景（员工不应在工作时拍这种私密内容）/ 显示型搭配（OOTD / 试穿）→ 走 outfit_of_the_day / 公司宣发素材 | alternative_path: 与 C3-2 ""空间在替我呼吸""配合——本卡用动作（脱、抱、搭）/ 空间卡用静止（站、慢动作）; 与 C3-3 ""衣柜情绪谱""配合——本卡用一件衣服全程 / 衣柜卡用三件衣服选择",complete
