source_md,heading_path,heading_level,body_length,coverage_status,covered_by_evidence
Q2-内容类型种子/GPT5.4.md,1. personal_vlog（个人 Vlog / 个人生活日记短视频）,2,66,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：行程清单式“跟我过一天”,4,209,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：精致生活流水账,4,170,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：美学蒙太奇里夹“真话”,4,401,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：安静跟拍，不解释动机,4,344,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：一件衣服陪我过完今天,4,473,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：别人眼里的我，和我自己眼里的我,4,436,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：失焦日记,4,372,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,259,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,87,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,205,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,2. lifestyle_expression（生活方式表达 / 生活态度类内容）,2,52,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：口号先行的“理想生活宣言”,4,139,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：审美拼贴式“我想成为的人”,4,140,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：沉默仪式，不讲道理,4,367,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：关系映照，不说“我主张什么”,4,336,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：价值观只通过“我拒绝了什么”来出现,4,384,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：反差场景里的柔软穿着,4,389,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：气味叙事的视觉化,4,324,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,212,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,78,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,133,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,3. knowledge_sharing（知识分享 / 干货科普类）,2,59,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：镜头前站桩讲 3 点,4,118,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：PPT 化口播,4,112,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：先讲人生，再讲知识,4,273,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：知识长在手上，而不是长在嘴上,4,277,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：从一个错误开始讲,4,361,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：一句知识，只靠动作讲清,4,303,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：把知识藏进一个小故事,4,287,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,247,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,80,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,124,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,4. humor_content（幽默内容 / 搞笑段子类）,2,54,exempt_cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,exempt_cross_source_reference,
