SM-KP-product_attribute-engine-card-vs-play-card-shell-play_card_shell,play_card_tier,玩法卡 10 字段壳：档位/定义/北极星/元素/分镜/服装钩子/可行性/AI/来源/备注；属于单一 ContentType 的具体玩法,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
SM-KP-product_attribute-engine-card-vs-play-card-shell-engine_card_shell,engine_principle,引擎卡 10 字段壳：出处/原理/为什么高级/降维执行/分镜/服装适配/可调用ContentType/可行性/AI/备注；跨 ContentType 可复用的元工具,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
SM-KP-product_attribute-play-card-scenario-tag-three-values-scenario,play_card_scenario,玩法卡业务层归属；零售内容两层漏斗的 schema key；三取值不可扩,,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
SM-KP-product_attribute-play-card-tier-three-values-tier,play_card_tier,玩法卡资源约束分级；三取值不可扩,,domain_general,KP-product_attribute-play-card-tier-three-values
SM-KP-product_attribute-storyboard-30s-dual-decoding-storyboard_30s,play_card_storyboard_30s,30 秒分镜参考字段；视频型 CT 读为四段分镜（画面/声音/动作）；文案型 CT 读为四段文案骨架（钩子/正文/视觉/CTA）；解码按 output_format 分叉,,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
SM-KP-product_attribute-storyboard-30s-dual-decoding-output_format,output_format,ContentType 输出形态；当前两值 video / copy；新增形态走共享层升级,,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
SM-KP-product_attribute-troop-facing-register-five-fields-switch,audience_register,ContentType 受众属性；当前两值 consumer_facing / troop_facing；troop_facing 时 north_star / apparel_hook / shooting_feasibility / red_lines / ai_boundary 5 字段语义自动切为对内员工训练读法,,domain_general,KP-product_attribute-troop-facing-register-five-fields
SM-KP-training_unit-ai-tone-banned-list-veto-veto,ai_tone_banned_list,AI 腔禁用清单 = AI 生成的一票否决层；命中即拒绝输出；清单只在共享层维护,,domain_general,KP-training_unit-ai-tone-banned-list-veto
SM-KP-training_unit-engine-vs-play-by-cross-ct-test-cross_ct_reuse,cross_ct_reuse_test,跨 ContentType 复用度测试 = 引擎 vs 玩法的唯一硬指标；≥2 CT 独立成立且原理段无需重写 → 引擎；否则 → 玩法,,domain_general,KP-training_unit-engine-vs-play-by-cross-ct-test
SM-KP-training_unit-grounding-over-polish-default-policy,ai_default_aesthetic_policy,AI 默认审美策略 = grounding 压倒 polished；玩法档位 C3>C2>C1（C1 默认禁用）；元素层禁用通用 BGM + 统一滤镜 + 模板转场组合,,domain_general,KP-training_unit-grounding-over-polish-default
SM-KP-training_unit-shared-layer-registration-not-rewrite-policy,shared_layer_upgrade_policy,共享层升级正交纪律：只在共享层 §F/§I/版本记录追加登记；单 CT 文件正文 0 改动；登记缺失 ≠ 内容扩写,,domain_general,KP-training_unit-shared-layer-registration-not-rewrite
