idx,pack_id,decision,rationale,action_summary,decided_by,decided_at,status
#1,KP-product_attribute-content-type-north-star-founder-ip,degraded_to_general,evidence_quote in direct_quote · 按硬规则不改写仅删句,删 evidence_quote 中笛语句（C1 强默认禁用证据其他句已支撑）,human_review_2026-05-03,2026-05-03T20:32:00,applied
#2,KP-product_attribute-content-type-north-star-product-copy-general,degraded_to_general,evidence_quote in direct_quote · 按硬规则不改写仅删句,删 evidence_quote 中含笛语 compass §3 句（其他证据已支撑反 AI 模板）,human_review_2026-05-03,2026-05-03T20:32:00,applied
#10,KP-training_unit-grounding-over-polish-default,degraded_to_general,evidence_quote in direct_quote · 按硬规则不改写仅删句,删 evidence_quote 中笛语启示句（前后趋势数据已支撑 grounding > polished）,human_review_2026-05-03,2026-05-03T20:32:00,applied
#5,KP-service_judgment-derived-view-risk-inherits-from-source-edge,degraded_to_general,scenario.boundary 非 evidence_quote 可改,（如笛语不允许某词）→（如某品牌不允许某词）,human_review_2026-05-03,2026-05-03T20:32:00,applied
#7,KP-training_unit-content-template-saturation-anti-pattern,degraded_to_general,scenario.who.target_audience 非 evidence_quote 可改,笛语/品牌方/单店店主/加盟商 → 零售品牌方/单店店主/加盟商,human_review_2026-05-03,2026-05-03T20:32:00,applied
#3,KP-product_attribute-persona-field-fill-state,domain_general_keep,Persona 字段成熟度三档治理是 schema 元规则，跨品牌通用；scan 误报：pack_id 含 persona 触发,yaml.brand_layer_review.rationale_keep 标注,human_review_2026-05-03,2026-05-03T20:32:00,applied
#4,KP-product_attribute-persona-six-field-shell,domain_general_keep,通用 6 字段壳治理是 schema 元规则；scan 误报：pack_id 含 persona 触发,yaml.brand_layer_review.rationale_keep 标注,human_review_2026-05-03,2026-05-03T20:32:00,applied
#8,KP-training_unit-founder-profile-brand-unique-layer,domain_general_keep,FounderProfile 应作为品牌唯一层是抽象建模规则；scan 误报：pack_id 含 founder + 'FounderProfile' 触发,yaml.brand_layer_review.rationale_keep 标注,human_review_2026-05-03,2026-05-03T20:32:00,applied
#9,KP-training_unit-founder-profile-soft-use-no-rename,domain_general_keep,启用与否非命名问题是抽象元规则；scan 误报：pack_id 含 founder 触发,yaml.brand_layer_review.rationale_keep 标注,human_review_2026-05-03,2026-05-03T20:32:00,applied
#6,KP-service_judgment-product-review-concerns-clearance-on-spot,split_two_packs,evidence_quote direct_quote 含品牌主语 + ka 也含；拆通用方法 + brand_faye 优先级声明,原 pack 去笛语化（ka + ev 删句）+ 新 brand_faye/KP-service_judgment-product-review-concerns-clearance-on-spot-faye-positioning,human_review_2026-05-03,2026-05-03T20:32:00,applied
