RL-KP-display_rule-display-first-then-speak,visual_first_then_verbal,4 类指定场景；门口/成套位/新款陈列前,顾客完成视觉判断后主动询问；导购话术直接落在她已经认可的视觉点上，转化高,顾客刚停下就被开口打断，视觉判断流断裂，礼貌走开,"顾客停留超过 90 秒未主动开口 → 用一句""模特那身用的就是这件""切入，不要追问需求；模特位陈列效果与单品差异大 → 提前说明，避免试穿落差",domain_general,KP-display_rule-display-first-then-speak
RL-KP-inventory_rescue-can-rescue-scenarios,rescue_axis_substitution,5 类指定场景且核心轴有库存可对齐,"替代品成交且顾客理解""为什么是它""，复购信任不减",不识轴硬换（如周末社交客被推通勤款），核心轴错位，顾客拒绝,"核心轴库存也断 → 转预售/调货，不强凑；顾客明确""我只要那一款"" → 退出救场，不强转",domain_general,KP-inventory_rescue-can-rescue-scenarios
RL-KP-inventory_rescue-no-rescue-scenarios,rescue_refusal_disclosure,3 类指定场景的关键参数断码,顾客感到被坦诚对待，复购信任不损甚至加强,"用""还行""""差不多""硬救，顾客试穿后落差大，当场流失或日后差评",改场合定位（应急客可降级到 weekend 或 commute 路径）；顾客愿意等 → 预留款 + 到货通知；顾客不愿等也不接受替代 → 礼貌结束接客，不留尴尬,domain_general,KP-inventory_rescue-no-rescue-scenarios
RL-KP-service_judgment-budget-controlled,budget_axis_first,顾客明确说出预算或价格上限的接客,"顾客在预算内带走 1-2 件并对""值""有清晰说法，复购信任建立","用""再加一件就更划算""的话术，顾客感觉被推销超预算，反而退回原本想买的","单件主力断码 → 同价位带同功能位替；不退到组合路径；顾客摇摆主力 vs 组合 → 用""上次复购数据""或""利用率比较""帮她锁",domain_general,KP-service_judgment-budget-controlled
RL-KP-service_judgment-commute-mainstay,utility_anchored_set,一线/二线日常通勤客；办公室或商务场景,第二套挂上利用率理由后顾客带走；后续成为复购锚点,"第二套继续用""也挺百搭""话术，顾客回""先看看""，回头率低","顾客明确""今天就要带一件"" → 跳过第二套利用率铺垫，直接锁第一套；库存断码 → 同功能位换色/换细节，禁换核心版型",domain_general,KP-service_judgment-commute-mainstay
RL-KP-service_judgment-functional-gap-fill,wardrobe_map_then_fill,"顾客明确说出""缺什么""的接客","顾客带走那一件并主动说""刚好缺这个""，复购预期高",想顺手加推第二主件，顾客感到被推销，连原本想买的那件也搁置,缺位件断码 → 同功能位的同色/同版型替；可救率高；顾客对自己衣柜不熟 → 改走通勤主力或周末社交路径,domain_general,KP-service_judgment-functional-gap-fill
RL-KP-service_judgment-greeting-master-principles,greeting_decision_order,任何门店接客,四原则按顺序走完，10 类细分场景都能命中正确判断起点,颠倒顺序（先推货再判任务/先给套再问顾虑/三套同一逻辑/嘴上松就硬救），整段接客失败,顾客拒绝沟通 → 仍按原则 1 静默判断任务后再决定是否开口；客流爆满 → 砍原则 3 的第三套，但前两条不能砍,domain_general,KP-service_judgment-greeting-master-principles
RL-KP-service_judgment-must-ask-first,precondition_question_first,6 类指定场景的接客起点,前置参数齐 → 第一套精准 → 第二套有方向 → 成交概率显著提升,"跳过追问直接推货，顾客觉得""和我没关系""，整段接客白烧","顾客拒答 → 用同类客的 2-3 个常见参数选项让她挑（缩窄而非放弃）；顾客自带参数（如已说""我穿 M 码""） → 跳过对应追问，直接进推荐",domain_general,KP-service_judgment-must-ask-first
RL-KP-service_judgment-new-item-cannot-style,dual_path_styling,新款/设计款单品接客,顾客带走主件 + 至少 1 件搭配件，回家后真的穿出去,"只给一条搭法或夸""百搭""，顾客带回去发现""不会穿""，变成衣柜挂件","出彩穿法库存断 → 退到保守穿法 + 1 件可换鞋说明，仍可成交；顾客对两条路都不接受 → 进 styling_rule 的""风格反转""边界，重新匹配气质",domain_general,KP-service_judgment-new-item-cannot-style
RL-KP-service_judgment-ready-made-full-set,motive_disambiguation_then_set,顾客主动放弃挑选权的接客,顾客认同第二套整体感，整套带走或带 2 件以上,"把""现成""理解成""快速凑""，断码后随手换件，整体气质崩，顾客只带 1 件甚至空手走","整套断码 → 退回到""主件 + 1 件辅件""的最小成套，不强凑 3 件；顾客对成套位某件不满 → 同气质同场景替换，不跨气质替换",domain_general,KP-service_judgment-ready-made-full-set
RL-KP-service_judgment-repeat-purchase-replenish,satisfaction_axis_disambiguation,"顾客带""上次买过""参照的接客","顾客认可""这条和上次那条是一个逻辑""，复购完成且对店员信任加深","凭印象拿""差不多的""，顾客对照旧款发现核心轴不对，当场退或日后差评","原款全断 → 同逻辑同轴替；明确告知""这是同一逻辑下的替代款""；顾客自己说不清满意点 → 拿出历史购买记录辅助回忆，再锁轴",domain_general,KP-service_judgment-repeat-purchase-replenish
RL-KP-service_judgment-second-third-set-blocker,second_set_logic_switch,5 类指定场景的第二/第三套推荐,第二套打中场景特定逻辑，整套或主件成交,"用第一套的逻辑重复推第二、三套，顾客觉得""都差不多""，全部退出",顾客自带第二套方向 → 顺势承接，不必硬切到模板；时间不允许（应急下顾客赶时间）→ 砍第三套，第二套必须打透,domain_general,KP-service_judgment-second-third-set-blocker
RL-KP-service_judgment-shape-correction,body_anchor_then_fit_lock,顾客主动披露身体顾虑的接客,顾客在镜子前主动转身、放松，接受第二/三套微调；建立长期信任,"用""不会显胖""等空话搪塞，关键参数没对上，顾客脱掉就走且不再回头","关键参数库存断 → 转告""这版我们当前救不了""，预留下次到货；顾客顾虑模糊（说""全身都不太满意""） → 用 1 件试穿建立基线再细化",domain_general,KP-service_judgment-shape-correction
RL-KP-service_judgment-urgent-full-look,scenario_first_then_set,任何带明确场合与时间锁的应急接客,第二套打中本人气质，顾客整套带走或带主件；信任在场合上锁定,"上来就抓款配套，第一套""能去""但第二套塌方，顾客觉得""都还行但都不像我""，最后空手走","主件断码且气质无替代 → 转告顾客""这套救不了""，引导改场合定位；时间极紧（当天要穿）→ 砍掉第三套，集中火力把第二套打透",domain_general,KP-service_judgment-urgent-full-look
RL-KP-service_judgment-weekend-social,vibe_first_then_garment,周末/节前接客；带社交目的的客流,顾客在成套位前停留并主动问，整套或主件带走，回头率高,"把周末客按通勤客推（强调耐穿百搭），顾客觉得""和我场景没关系""，礼貌走人","库存断码 → 同气质换款（松弛仍是松弛，精致仍是精致）；顾客犹豫第二套 → 增加""拍照效果""""场合预演""话术，不增 SKU 数",domain_general,KP-service_judgment-weekend-social
RL-KP-training_unit-greeting-format-lock,training_format_lock,10 类接客场景与 5 类跨切裁决的培训,员工在真实接客中自动跳出正确动作，复购与转化指标改善,用长视频/话术稿/PPT 培训，员工背得出但用不出，接客现场仍按惯性走,4 种格式之外的新格式提案 → 进 unprocessable_register 分类 needs_human_judgment；紧急上线场景（如新政策当天落地）→ 用 pre_shift_micro_coaching 优先承接,domain_general,KP-training_unit-greeting-format-lock
